POI Category,Avg Check-ins per Day
Fast Food Restaurant,1.0
Bus Station,1.8571428571428572
Home (private),1.0901639344262295
Parking,1.1063829787234043
Food Court,1.0
Grocery Store,1.0
Karaoke Bar,1.0
Playground,1.0588235294117647
Community College,1.0
Plaza,1.0
Asian Restaurant,1.1142857142857143
Convenience Store,1.088235294117647
Train Station,1.0
Coffee Shop,1.173913043478261
Nightclub,1.0
Caf,1.0
Mall,1.25
Dance Studio,1.0
Airport,1.0
Road,1.0
Other Great Outdoors,1.125
Farmers Market,1.0
Malaysian Restaurant,1.0
Chinese Restaurant,1.1428571428571428
Burger Joint,1.0
Fried Chicken Joint,1.0
American Restaurant,1.0
Steakhouse,1.0
Drugstore / Pharmacy,1.1666666666666667
Women's Store,1.0
Department Store,1.0
School,1.0
Bookstore,1.0
Bus Line,1.0
Beer Garden,1.0
Bike Shop,1.0
BBQ Joint,1.0
Restaurant,1.0
Resort,1.0
Miscellaneous Shop,1.0
Boutique,2.0
Clothing Store,1.0
Office,1.0
Subway,1.8
Garden,1.0
Indian Restaurant,1.0
Bridge,1.0
Mobile Phone Shop,1.0
Dessert Shop,1.0
Event Space,1.0
Ramen /  Noodle House,1.0
Bank,1.0
Airport Terminal,2.0
Bakery,1.0
Neighborhood,1.0
Lingerie Store,1.5
Thai Restaurant,1.0
Diner,1.0
Pizza Place,1.0
Middle Eastern Restaurant,1.0
Seafood Restaurant,1.0
Vegetarian / Vegan Restaurant,1.0
Furniture / Home Store,1.0
Japanese Restaurant,1.0
Bridal Shop,1.0
Hotel,1.0
Government Building,1.0
Theme Park,1.0
Harbor / Marina,1.0
Thrift / Vintage Store,1.0
Sushi Restaurant,1.0
Sporting Goods Shop,1.0
Multiplex,1.0
Park,1.0
Bar,1.0
Wine Bar,1.0
Building,1.0
Breakfast Spot,1.0
Performing Arts Venue,1.0
Latin American Restaurant,1.0
Skate Park,1.0
Beach,1.0
Dim Sum Restaurant,1.0
Sports Bar,2.0
Doctor's Office,1.0
Other Nightlife,1.0
River,1.0
Fire Station,1.0
University,1.0
Gym,1.0
