POI Category,Avg Check-ins per Day
Office,1.3726708074534162
Building,1.0769230769230769
University,1.0476190476190477
Multiplex,1.0
Library,1.0
Airport,1.0
Airport Terminal,1.0
Bus Station,1.0
Fish Market,1.0
Hospital,1.0
Coffee Shop,1.0
Car Dealership,1.0
High School,1.0
Home (private),1.0
Pet Store,1.0
Mall,1.0192307692307692
Other Nightlife,1.0
Government Building,1.0
General College & University,1.1428571428571428
Animal Shelter,1.0
Veterinarian,1.0
Doctor's Office,1.0
Convention Center,1.0
Food Court,1.175
Pier,1.0833333333333333
Museum,1.0
Bookstore,1.0
Factory,1.0769230769230769
Elementary School,1.0
Scandinavian Restaurant,1.0
Grocery Store,1.0
Temple,1.0
Nightclub,1.0892857142857142
Medical Center,1.0
Bakery,1.0
Mobile Phone Shop,1.0
Seafood Restaurant,1.0
Japanese Restaurant,1.0
Police Station,1.25
Snack Place,1.0
Park,1.0
Flea Market,2.0
Asian Restaurant,1.0
Vegetarian / Vegan Restaurant,1.0
Hotel,1.5
Event Space,1.0
Garden,1.75
Scenic Lookout,1.0
Garden Center,1.0
Zoo,1.0
Other Great Outdoors,1.0
Chinese Restaurant,1.5
Toy / Game Store,1.0
Caf,1.0
Department Store,1.0
Boutique,1.0
Coworking Space,1.0
Storage Facility,1.0
Fair,1.0
Tea Room,1.0
Arcade,1.0
American Restaurant,1.0
Fried Chicken Joint,1.0
Gas Station / Garage,1.0
Dim Sum Restaurant,1.0
