POI Category,Avg Check-ins per Day
College Classroom,1.0
Dance Studio,1.0
Bus Station,1.5862068965517242
Bus Line,1.8928571428571428
Home (private),2.1551724137931036
General Entertainment,1.0
College Cafeteria,1.0
High School,1.5
Coffee Shop,1.0
Cosmetics Shop,1.0
Miscellaneous Shop,1.0
Park,1.0
College Gym,1.0
Snack Place,1.0
Mall,1.3225806451612903
Art Gallery,1.0
Drugstore / Pharmacy,1.0
Subway,1.7142857142857142
Fast Food Restaurant,1.0
Tea Room,1.0
Dessert Shop,1.0
Convenience Store,1.0
Grocery Store,1.0
College Auditorium,1.0
Women's Store,1.0
Burger Joint,1.0
Arcade,1.0
Paper / Office Supplies Store,1.0
Japanese Restaurant,1.0
Ice Cream Shop,1.0
Gym,1.0
Indian Restaurant,1.0
Road,1.0
Playground,1.0
Food Court,1.0
Church,1.0
Fried Chicken Joint,1.0
Train Station,2.0
College Engineering Building,1.0
Multiplex,1.0
Chinese Restaurant,1.0
Library,1.0
Italian Restaurant,1.0
College Library,1.0
Student Center,1.0
Flea Market,1.0
School,1.0
Clothing Store,1.0
