POI Category,Avg Check-ins per Day
High School,1.25
Burger Joint,1.0
College Cafeteria,1.0
Bus Line,1.7560975609756098
Train Station,2.125
Bus Station,1.9523809523809523
Mall,1.2352941176470589
Fried Chicken Joint,1.0
Residential Building (Apartment / Condo),1.0
Home (private),1.5238095238095237
Caf,1.0
Japanese Restaurant,1.0
Library,1.0
Subway,1.0714285714285714
Gift Shop,2.0
Food Court,1.25
Clothing Store,1.0
Arcade,1.0
Paper / Office Supplies Store,1.0
Bookstore,1.0
Toy / Game Store,1.0
Gym Pool,1.0
Ice Cream Shop,1.0
Grocery Store,1.0
Garden Center,1.0
Fast Food Restaurant,1.0
Pub,1.0
Ramen /  Noodle House,1.0
Cosmetics Shop,1.0
Boutique,1.0
Beach,1.0
Water Park,1.0
Sandwich Place,1.0
Bowling Alley,1.0
School,1.0
Sporting Goods Shop,3.0
Bike Rental / Bike Share,1.0
Asian Restaurant,1.0
Bank,1.0
Basketball Court,1.6666666666666667
Furniture / Home Store,2.0
Scandinavian Restaurant,1.0
Hospital,2.0
Frozen Yogurt,1.0
Pet Store,1.0
