POI Category,Avg Check-ins per Day
Caf,1.0
Donut Shop,1.0
Train Station,1.7058823529411764
Bus Station,1.8571428571428572
Bus Line,1.2592592592592593
Home (private),1.0740740740740742
Subway,1.4
Fried Chicken Joint,1.0
Fast Food Restaurant,1.0
Mall,1.0
Bridge,1.0
Residential Building (Apartment / Condo),1.0666666666666667
College Cafeteria,1.0
Bookstore,1.0
Pizza Place,1.0
Garden,1.0
Field,1.0
Bakery,1.0
Building,1.0
Pub,1.0
Ice Cream Shop,1.0
Convenience Store,1.0
Doctor's Office,1.0
Grocery Store,1.0
Beach,1.0
Theme Park,1.0
Gay Bar,1.0
Gift Shop,1.0
Comedy Club,1.0
Cemetery,1.0
Sandwich Place,1.0
Water Park,1.0
Plaza,1.0
Japanese Restaurant,1.0
Arcade,1.0
General Entertainment,1.2
Hiking Trail,1.0
Steakhouse,1.0
Boutique,1.5
Hot Dog Joint,1.0
Whisky Bar,1.0
Food Court,1.0
Chinese Restaurant,1.0
Basketball Court,1.0
College Gym,1.0
Dessert Shop,1.0
Design Studio,2.0
Clothing Store,2.0
Department Store,1.0
