POI Category,Avg Check-ins per Day
Fried Chicken Joint,1.0
Housing Development,1.6222222222222222
Residential Building (Apartment / Condo),1.0
Bank,1.0
Airport Terminal,1.0
High School,1.0
Home (private),1.3478260869565217
Train Station,1.7142857142857142
Grocery Store,1.0
Plaza,1.0
Bus Station,1.3571428571428572
Other Great Outdoors,1.3333333333333333
Mall,1.75
Fast Food Restaurant,1.0
Food Court,1.0
Bus Line,1.0
Restaurant,1.0
Road,1.3333333333333333
Event Space,1.0
Department Store,1.0
Moving Target,1.0
Theme Park,1.0
Coffee Shop,1.0
Electronics Store,1.0
Subway,3.0
Office,1.0
Bookstore,1.0
American Restaurant,1.0
Shop & Service,1.0
Indian Restaurant,1.0
Donut Shop,1.0
