POI Category,Avg Check-ins per Day
Airport Terminal,1.5
Fast Food Restaurant,1.1538461538461537
Housing Development,1.8970588235294117
College Auditorium,1.0
Bus Line,1.3636363636363635
Bus Station,1.488888888888889
Furniture / Home Store,1.0
Train Station,2.0625
Mall,1.2727272727272727
Road,1.3611111111111112
Home (private),1.2592592592592593
College & University,1.0
Building,1.0
Grocery Store,1.0
Bookstore,1.0
Hospital,3.0
High School,1.2142857142857142
Fried Chicken Joint,1.0
Plaza,1.0
Other Great Outdoors,1.0
Diner,1.0
College Library,1.0
Moving Target,1.0
Residential Building (Apartment / Condo),1.0
Automotive Shop,3.0
Flea Market,1.0
School,1.0
Theme Park,3.0
Department Store,1.0
American Restaurant,1.0
Bank,1.0
Electronics Store,1.0
Coffee Shop,1.0
Lake,2.0
Donut Shop,1.0
Government Building,1.0
Convenience Store,1.0
Subway,1.0
College Arts Building,1.6666666666666667
Miscellaneous Shop,1.0
Restaurant,1.0
Snack Place,1.0
College Classroom,1.0
Caf,1.0
Asian Restaurant,1.0
Parking,1.0
Korean Restaurant,1.0
Multiplex,2.0
Arcade,1.0
College Theater,1.0
College Cafeteria,1.0
Toy / Game Store,1.0
Paper / Office Supplies Store,1.0
Food Court,1.0
Playground,1.0
