POI Category,Avg Check-ins per Day
Office,1.675
Caf,1.0
Mall,1.5263157894736843
Train Station,2.176470588235294
Subway,1.8620689655172413
Road,1.2222222222222223
Food Court,1.0714285714285714
Pizza Place,1.0
Dessert Shop,1.0
Residential Building (Apartment / Condo),1.0
Ice Cream Shop,1.0
Fast Food Restaurant,1.2
Clothing Store,1.0
Sandwich Place,1.0
Fried Chicken Joint,1.0
Bus Station,1.25
Furniture / Home Store,1.4
Scandinavian Restaurant,1.0
Hot Dog Joint,1.0
Bus Line,1.1428571428571428
Multiplex,1.0
Cafeteria,1.2592592592592593
Taxi,1.0909090909090908
Ramen /  Noodle House,1.0
Chinese Restaurant,1.0
General Entertainment,1.0
Conference Room,1.0
Light Rail,1.0
Filipino Restaurant,1.0
Sporting Goods Shop,1.6666666666666667
Bank,2.25
Design Studio,1.0
Middle Eastern Restaurant,1.0
Coworking Space,1.0
Grocery Store,1.0
Concert Hall,1.0
Bridge,1.6666666666666667
Monument / Landmark,1.0
Performing Arts Venue,2.0
Convenience Store,1.0
Electronics Store,1.3333333333333333
Asian Restaurant,1.0
Garden,1.5
Wings Joint,1.0
Convention Center,1.5
Pub,2.0
Bar,1.0
Thai Restaurant,1.0
Women's Store,1.0
Kids Store,1.0
Japanese Restaurant,1.0
Event Space,1.0
Department Store,1.3333333333333333
Coffee Shop,1.5
Shoe Store,1.6
Italian Restaurant,1.0
Park,1.0
Gift Shop,1.0
Men's Store,1.0
Tea Room,1.0
Plaza,1.0
Jewelry Store,1.0
Swiss Restaurant,1.0
Miscellaneous Shop,1.0
Boutique,1.5
Accessories Store,1.0
Cosmetics Shop,1.0
Candy Store,1.0
Hotel,1.0
Theme Park,3.0
American Restaurant,1.0
Resort,1.0
Building,1.0
Bakery,1.0
Drugstore / Pharmacy,1.0
Seafood Restaurant,1.0
Restaurant,1.0
Airport,1.0
Burger Joint,1.0
Wine Bar,1.0
Neighborhood,1.0
Mexican Restaurant,1.0
Tech Startup,1.0
Fair,1.0
Church,1.0
Nightclub,1.0
Gastropub,1.0
