POI Category,Avg Check-ins per Day
Residential Building (Apartment / Condo),2.4074074074074074
Home (private),1.59375
Bus Station,1.1162790697674418
Soccer Field,1.0
Food Court,1.0
Building,1.0
Mall,1.1666666666666667
Malaysian Restaurant,1.0
High School,1.0
Convenience Store,1.0
Subway,1.75
Housing Development,1.0
Neighborhood,1.0
Road,1.0
Seafood Restaurant,1.0
American Restaurant,1.0
Bus Line,1.0
Department Store,1.0
Grocery Store,1.0
General Travel,1.0
Asian Restaurant,1.0
Coffee Shop,1.1111111111111112
Restaurant,1.0
Train Station,1.8333333333333333
Playground,1.0
Airport Terminal,1.0
Airport,1.0
Fast Food Restaurant,1.25
Cocktail Bar,1.0
Stadium,1.0
Hotel,1.0
Arcade,1.0
Medical Center,1.0
Police Station,1.0
Plaza,1.0
Indian Restaurant,1.0
Event Space,1.0
Comedy Club,1.0
Caf,1.0
Salon / Barbershop,1.0
Office,1.0
Parking,1.0
Museum,1.0
Performing Arts Venue,1.0
Convention Center,1.0
Nightclub,1.0
Doctor's Office,1.0
Cemetery,1.0
Flea Market,1.0
Field,1.0
Fried Chicken Joint,1.0
Casino,1.0
Argentinian Restaurant,1.0
Mosque,1.0
Other Nightlife,1.0
Scandinavian Restaurant,1.0
Soccer Stadium,1.0
Basketball Court,1.0
Pier,1.0
Hospital,1.0
Arepa Restaurant,1.0
Moving Target,1.0
Bank,1.0
Hotel Bar,1.0
Mountain,1.0
College Residence Hall,1.0
Beach,1.0
Mediterranean Restaurant,1.0
College Lab,1.0
Park,1.0
Strip Club,1.0
