POI Category,Avg Check-ins per Day
University,1.0
Food Court,1.25
Museum,1.0
Veterinarian,1.0
Building,1.0
Office,1.0909090909090908
Pier,1.0454545454545454
Mobile Phone Shop,1.5
High School,1.0
Medical Center,1.0
Temple,1.0
Mall,1.25
Bakery,1.0
Fast Food Restaurant,1.0
Library,1.0
Electronics Store,1.0
Nightclub,1.027027027027027
Fish Market,1.0
Police Station,1.0
Multiplex,1.0
Event Space,1.0
Government Building,1.0
Factory,1.0
Concert Hall,1.0
Sports Bar,1.0
General College & University,1.0
Plaza,1.0
Tea Room,1.0
Bank,1.0
Embassy / Consulate,1.0
Hospital,1.0
