user_id,place_id,datetime,timezone,lat,lon,category
21418,4b138667f964a5208b9723e3,Tue Apr 03 18:19:55 +0000 2012,480,1.359951,103.884701,Chinese Restaurant
49530,4f657a99e4b0c65cc5414938,Tue Apr 03 18:22:10 +0000 2012,480,1.36329,103.965668,Nightclub
82310,4b1cecc1f964a520800a24e3,Tue Apr 03 18:31:03 +0000 2012,480,1.31243,103.923304,Fast Food Restaurant
74138,4e020f6bd1647696f12549d3,Tue Apr 03 18:32:58 +0000 2012,480,1.300316,103.849838,Nightlife Spot
56776,4b799559f964a52043032fe3,Tue Apr 03 18:48:31 +0000 2012,480,1.321748,103.863081,Coffee Shop
198384,4b058815f964a520a9b022e3,Tue Apr 03 18:56:57 +0000 2012,480,1.310145,103.855216,Mall
105049,4b5aa27df964a520dace28e3,Tue Apr 03 19:12:07 +0000 2012,480,1.354087,103.86794,Coffee Shop
174198,4bcd25ee0687ef3bfb9de0cc,Tue Apr 03 19:17:20 +0000 2012,480,1.358067,103.950352,Coffee Shop
72021,4cb6db7b589f236a324e3a3d,Tue Apr 03 19:24:39 +0000 2012,480,1.375905,103.955598,Mall
203821,4e46e095183849317e7cfb58,Tue Apr 03 19:51:02 +0000 2012,480,1.306273,103.826466,Nightclub
203821,4eca6e83be7ba4fc71d9c8a6,Tue Apr 03 20:00:36 +0000 2012,480,1.306302,103.828054,Nightclub
126,4ca221cf8afca093c12e2116,Tue Apr 03 20:09:15 +0000 2012,480,1.339618,103.983224,Bus Line
4678,4daa9e324df01c19b18e7d44,Tue Apr 03 20:30:00 +0000 2012,480,1.320701,103.951752,Lighthouse
64094,4e0c18041838fa426ac54376,Tue Apr 03 21:12:57 +0000 2012,480,1.374031,103.951695,Gym / Fitness Center
122278,4b1baa07f964a52084fc23e3,Tue Apr 03 21:27:24 +0000 2012,480,1.35617,103.987033,Airport Terminal
126476,4c84db8d2f1c236ab6444f43,Tue Apr 03 21:37:32 +0000 2012,480,1.362477,103.887835,Moving Target
38192,4cd72a22ab19a09317f548eb,Tue Apr 03 21:50:47 +0000 2012,480,1.327517,103.883295,Bus Station
64094,4b932271f964a520073734e3,Tue Apr 03 21:52:28 +0000 2012,480,1.372859,103.949332,Train Station
198469,4becb82cd5510f474ef4cc6c,Tue Apr 03 22:06:09 +0000 2012,480,1.377107,103.894744,School
38475,4e76e1c9c65bb91db4fecfb4,Tue Apr 03 22:09:00 +0000 2012,480,1.315454,103.772049,Bus Line
198469,4c02f893310fc9b6974bc561,Tue Apr 03 22:09:26 +0000 2012,480,1.37435,103.889004,High School
