POI Category,Avg Check-ins per Day
Bus Station,1.416058394160584
Soccer Field,1.0
Building,1.0
Park,1.0769230769230769
Trade School,1.0
Fast Food Restaurant,1.0
Mall,1.0
Bus Line,1.0
Restaurant,1.0
Asian Restaurant,1.0
Food Court,1.0
Clothing Store,1.0
Government Building,1.0
Home (private),1.0
Gym,1.0
Residential Building (Apartment / Condo),1.0
College Soccer Field,1.0
Gym / Fitness Center,1.0
Event Space,1.0
Arcade,1.0
Malaysian Restaurant,1.0
Convenience Store,1.0
Train Station,1.0
Gaming Cafe,1.0
College Academic Building,1.0
General College & University,1.0
College Engineering Building,1.0
College Cafeteria,1.5
College Technology Building,1.0
