POI Category,Avg Check-ins per Day
Building,1.0
Bus Station,1.4777070063694266
Soccer Field,1.0526315789473684
Mall,1.7297297297297298
Fast Food Restaurant,1.1153846153846154
Park,1.0512820512820513
Subway,1.8461538461538463
Trade School,1.0
College Cafeteria,1.0
Food Court,1.125
Department Store,1.2857142857142858
Design Studio,1.0
Men's Store,1.0
Sporting Goods Shop,2.8333333333333335
Bookstore,1.0
Electronics Store,1.0
Bank,1.0
Gym / Fitness Center,1.5
Residential Building (Apartment / Condo),1.1724137931034482
Malaysian Restaurant,1.0
Indian Restaurant,1.0
Home (private),1.0588235294117647
Other Great Outdoors,1.0
Coffee Shop,1.0588235294117647
Fried Chicken Joint,1.0
Multiplex,1.3333333333333333
Restaurant,1.0
College Soccer Field,1.0
Miscellaneous Shop,1.0
Boutique,2.75
Women's Store,1.6666666666666667
Clothing Store,1.8181818181818181
Government Building,1.0
Train Station,1.1818181818181819
Burger Joint,1.0
Flea Market,1.0
General Entertainment,1.0
Pool Hall,1.0
Tea Room,1.0
Grocery Store,1.0
Dessert Shop,1.0
Food & Drink Shop,1.0
Bus Line,1.0
Shoe Store,3.0
Event Space,1.0
Furniture / Home Store,1.0
Caf,1.0
General College & University,1.0
Arcade,1.0
College Library,1.0
Pizza Place,1.0
Kids Store,1.0
College Lab,1.0
College Engineering Building,1.0
Lake,1.0
Food Truck,1.0
College Administrative Building,1.0
Mosque,1.0
Drugstore / Pharmacy,1.0
Asian Restaurant,1.0
Historic Site,1.0
Airport Food Court,1.0
College Academic Building,1.0
Airport Terminal,2.0
Video Store,1.0
