user_id,place_id,datetime,timezone,lat,lon,POI category
14847,4e96d7e077c83a3315932050,Mon Aug 20 05:24:49 +0000 2012,480,1.283523,103.848583,grocery store
75364,4bf4f22fed30b713c928f49a,Mon May 28 04:00:25 +0000 2012,480,1.320919,103.801684,nightclub
51792,4b4efde5f964a5203bf826e3,Tue Jan 01 12:48:54 +0000 2013,480,1.299548,103.858498,chinese restaurant
95096,4b8eff9ef964a5208c4333e3,Tue Apr 02 04:32:24 +0000 2013,480,1.273073,103.793083,multiplex
71134,50c1c00fe4b0647771d0f549,Fri Apr 13 10:32:58 +0000 2012,480,1.335416,103.951598,fast food restaurant
153883,4c384f3e93db0f474f592192,Sun Apr 08 13:53:27 +0000 2012,480,1.287548,103.838219,fast food restaurant
4978,4ec0af2d0e019a162b285f99,Sun Apr 21 07:18:53 +0000 2013,480,1.266622,103.818767,chinese restaurant
848,4db0eb8e1e729fcc5648eb3a,Sun May 27 17:10:24 +0000 2012,480,1.315735,103.882251,coffee shop
14852,4f16d1e1e4b06c588fdd2faa,Wed Oct 31 05:57:15 +0000 2012,480,1.337814,103.905013,park
10032,4db1cb6893a06157685da876,Mon Aug 20 06:23:44 +0000 2012,480,1.276225,103.81757,wine shop
63554,4d7f9d4df635236a6de87c16,Wed Sep 04 07:06:09 +0000 2013,480,1.34625,103.865304,japanese restaurant
151,4ca95cb3d971b1f7dd121ee1,Wed Feb 13 10:49:29 +0000 2013,480,1.336852,103.877228,food court
63554,4b642f91f964a52019a32ae3,Fri Mar 08 19:38:14 +0000 2013,480,1.296314,103.86624,food court
238510,4b1fa81ff964a520c62724e3,Sat May 19 09:50:35 +0000 2012,480,1.334628,103.813583,gastropub
80219,4ca82f4444a8224b246e1540,Sun Jun 10 05:59:25 +0000 2012,480,1.339588,103.836432,fast food restaurant
73,4bfc85567bd2b713b5fde361,Sun Jan 13 12:09:24 +0000 2013,480,1.346103,103.850237,nightclub
10032,4ef2b1afe5fad15c7a401c00,Wed Jul 11 07:08:13 +0000 2012,480,1.314429,103.838183,video store
207683,4bbdb8868a4fb71329403d9d,Thu Apr 26 06:37:59 +0000 2012,480,1.343204,103.869742,ice cream shop
121270,50825711e4b0f51bc6121487,Thu Apr 05 09:51:30 +0000 2012,480,1.323428,103.952917,arcade
106936,4c384f3e93db0f474f592192,Mon May 27 09:26:43 +0000 2013,480,1.308381,103.831974,nightclub
35841,4b11258cf964a520667823e3,Thu Jul 12 11:32:42 +0000 2012,480,1.367074,103.953118,coffee shop
37378,4b0a71d7f964a5201a2423e3,Thu Feb 28 07:10:36 +0000 2013,480,1.306378,103.876747,japanese restaurant
110957,4c79b8c497028cfa8c3fdcfe,Mon May 28 11:59:44 +0000 2012,480,1.311937,103.785849,food court
19031,4de314b77d8b2547eb1463a4,Sat May 12 06:07:33 +0000 2012,480,1.306406,103.803934,coffee shop
