user_id,place_id,datetime,timezone,lat,lon,POI category
340289,4d2534e1b9796dcbd9caa639,2012-05-19 02:45:31.666998016,480,1.315747,103.849879,middle eastern restaurant
340289,4e9a657df790b2a9194badf7,2011-08-05 13:28:32.984145920,480,1.316264,103.872625,vietnamese restaurant
340289,4e9a657df790b2a9194badf7,2010-10-14 11:02:12.643697152,480,1.315006,103.868933,vietnamese restaurant
6812632,4cb6f3a4f6616dcbafc7e208,2013-03-13 04:59:36.348861184,480,1.309437,103.875756,sushi restaurant
6812632,4e9a657df790b2a9194badf7,2012-05-31 07:37:34.722816,480,1.314255,103.872624,vietnamese restaurant
6812632,4e9a657df790b2a9194badf7,2011-08-12 06:33:45.809776128,480,1.31528,103.870257,vietnamese restaurant
6812632,4e9a657df790b2a9194badf7,2010-10-21 09:54:14.161139456,480,1.315748,103.871446,vietnamese restaurant
14953683,51e1407a498e6dfbbb4d8ebe,2012-06-24 23:06:54.023161344,480,1.316946,103.873266,chinese restaurant
8693123,4cf553a594feb1f7bcb02cba,2012-10-13 13:10:09.166392832,480,1.314464,103.875301,multiplex
1665056,4e9a657df790b2a9194badf7,2012-05-30 08:47:01.055440896,480,1.318734,103.871054,gift shop
3335948,4f0bac0ce4b02a8da5aa775b,2013-02-28 14:54:12.416374272,480,1.315329,103.871054,yoga studio
3335948,4e9a657df790b2a9194badf7,2012-05-14 04:32:48.149707520,480,1.315613,103.871464,vietnamese restaurant
4483049,4da9c5c41e72c1ab9be3d561,2012-10-21 18:52:49.703097344,480,1.321744,103.878123,vietnamese restaurant
11488235,4ba205ccf964a520e3d637e3,2012-12-26 22:39:05.320632064,480,1.315329,103.871054,resort
15582830,4cf0f5cf7e93f04d43284a69,2013-03-01 10:45:54.084107776,480,1.332939,103.870393,soup place
15582830,4e9a657df790b2a9194badf7,2012-05-17 10:59:55.650105600,480,1.316576,103.870072,vietnamese restaurant
15582830,4e9a657df790b2a9194badf7,2011-07-29 10:29:09.536083200,480,1.315038,103.871392,vietnamese restaurant
15582830,4e9a657df790b2a9194badf7,2010-10-07 05:00:36.687060992,480,1.315048,103.869179,vietnamese restaurant
410742,4c4143e8da3dc928cfc3c8b9,2012-12-17 02:48:24.684400384,480,1.315329,103.871054,scandinavian restaurant
410742,4e9a657df790b2a9194badf7,2012-03-04 21:21:35.260771328,480,1.314991,103.870988,vietnamese restaurant
410742,4e9a657df790b2a9194badf7,2011-05-17 01:09:58.179446784,480,1.314981,103.869303,vietnamese restaurant
15885974,4bc7ea1d8b7c9c74366f37cf,2012-08-22 14:00:23.911377152,480,1.311478,103.888183,motel
15885974,4e9a657df790b2a9194badf7,2011-11-07 01:46:44.515991040,480,1.316134,103.871676,nightclub
15885974,4e9a657df790b2a9194badf7,2011-01-13 22:21:36.875300864,480,1.314471,103.870312,vietnamese restaurant
1760012,4c0f9e85336220a1ef06ce77,2013-08-23 09:49:51.094059008,480,1.29946,103.871054,french restaurant
1760012,4e9a657df790b2a9194badf7,2012-11-05 21:38:05.773457664,480,1.315448,103.870953,vietnamese restaurant
3162895,4b2b39d3f964a5203db524e3,2012-06-02 00:39:29.503419136,480,1.315329,103.869194,steakhouse
3162895,4e9a657df790b2a9194badf7,2011-08-16 19:13:51.037784832,480,1.315329,103.871916,vietnamese restaurant
3162895,4e9a657df790b2a9194badf7,2010-10-25 19:21:12.976236032,480,1.314822,103.869459,vietnamese restaurant
3162895,4e9a657df790b2a9194badf7,2010-01-04 00:00:58.806289152,480,1.315095,103.870547,vietnamese restaurant
5958991,4d85f4d25ad3a0935e19effd,2012-08-26 01:38:23.555832320,480,1.315329,103.871054,steakhouse
5958991,4e9a657df790b2a9194badf7,2011-11-09 15:16:59.289165568,480,1.315109,103.872144,vietnamese restaurant
5958991,4e9a657df790b2a9194badf7,2011-01-16 14:17:36.740416512,480,1.314478,103.87037,vietnamese restaurant
5958991,4e9a657df790b2a9194badf7,2010-03-28 21:45:10.889077504,480,1.3145,103.870914,vietnamese restaurant
10636157,4b17b641f964a5205ec723e3,2013-02-22 09:53:27.419823872,480,1.316171,103.860685,multiplex
10636157,4e9a657df790b2a9194badf7,2012-05-06 09:38:35.920552960,480,1.312468,103.867406,vietnamese restaurant
10636157,4e9a657df790b2a9194badf7,2011-07-18 15:12:26.498413824,480,1.314585,103.871582,vietnamese restaurant
10636157,4e9a657df790b2a9194badf7,2010-09-24 16:48:03.758340864,480,1.315057,103.870107,vietnamese restaurant
15843552,4d02411a58245481330a4aac,2012-11-26 14:36:39.104453888,480,1.307708,103.862366,motel
15843552,4e9a657df790b2a9194badf7,2012-02-14 11:13:03.793966336,480,1.316053,103.871512,food court
