num_users,num_checkins,top_poi_categories,mean_lat,mean_lon,hour_peak,day_peak
53,7459,"Coffee Shop, Food Court, Fast Food Restaurant, Nightclub, Multiplex, Chinese Restaurant, Asian Restaurant, Gym, Resort, Japanese Restaurant",1.315900154578362,103.86926000643518,11,Saturday
38,4268,"Food Court, Chinese Restaurant, Coffee Shop, Asian Restaurant, Fast Food Restaurant, Nightclub, Multiplex, Bakery, American Restaurant, Japanese Restaurant",1.311872355670103,103.86087418181819,10,Saturday
7,1247,"Nightclub, Shoe Store, Bar, Coffee Shop, Food Court, Chinese Restaurant, Fast Food Restaurant, Department Store, Japanese Restaurant, Multiplex",1.307159620689655,103.84871090697675,11,Friday
42,7291,"Food Court, Coffee Shop, Nightclub, Multiplex, Chinese Restaurant, Fast Food Restaurant, Japanese Restaurant, Bar, Resort, American Restaurant",1.3177821482649843,103.86840538211493,10,Saturday
21,3954,"Nightclub, Food Court, Multiplex, Coffee Shop, Tea Room, Fast Food Restaurant, Chinese Restaurant, Gym, Dessert Shop, Asian Restaurant",1.3188594777440568,103.86263227592312,11,Saturday
4,428,"Food Court, Pet Store, Chinese Restaurant, Japanese Restaurant, Coffee Shop, Fast Food Restaurant, Dessert Shop, Breakfast Spot, Ramen /  Noodle House, Asian Restaurant",1.2983804672897197,103.83747802803738,11,Sunday
36,3963,"Food Court, Chinese Restaurant, Fast Food Restaurant, Nightclub, Multiplex, Coffee Shop, Asian Restaurant, Japanese Restaurant, Department Store, Gym / Fitness Center",1.3182430070653546,103.87850518697957,10,Friday
34,4964,"Food Court, Nightclub, Coffee Shop, Chinese Restaurant, Multiplex, Ice Cream Shop, Fast Food Restaurant, Department Store, Gym, Tea Room",1.3091415423045931,103.8584269093473,10,Saturday
54,6789,"Food Court, Coffee Shop, Nightclub, Chinese Restaurant, Multiplex, Asian Restaurant, Fast Food Restaurant, Japanese Restaurant, Gym, Grocery Store",1.3103902583591103,103.85713579157459,11,Saturday
43,4189,"Food Court, Coffee Shop, Nightclub, Fast Food Restaurant, Multiplex, Chinese Restaurant, Japanese Restaurant, American Restaurant, Fried Chicken Joint, Asian Restaurant",1.3159310680353307,103.86835232131774,11,Saturday
40,6718,"Food Court, Chinese Restaurant, Nightclub, Coffee Shop, Fast Food Restaurant, Multiplex, Convenience Store, Dessert Shop, Asian Restaurant, Japanese Restaurant",1.312580982137541,103.86206894313784,10,Saturday
4,751,"Nightclub, Lounge, Tea Room, Bar, Chinese Restaurant, Coffee Shop, Gym, Beer Garden, Multiplex, Pizza Place",1.2979148961384819,103.84574235952064,11,Monday
33,3872,"Coffee Shop, Food Court, Chinese Restaurant, Nightclub, Fast Food Restaurant, Clothing Store, Multiplex, Japanese Restaurant, Ice Cream Shop, Asian Restaurant",1.3142615857438018,103.86917267277894,11,Saturday
52,8756,"Fast Food Restaurant, Coffee Shop, Food Court, Nightclub, Chinese Restaurant, Multiplex, Tea Room, Bar, Park, Light Rail",1.3212398064184558,103.87998325502512,10,Friday
24,4357,"Nightclub, Food Court, Coffee Shop, Fast Food Restaurant, Multiplex, Chinese Restaurant, Gym, Tea Room, Boutique, Dessert Shop",1.322014397750746,103.87551351090198,11,Friday
43,7863,"Nightclub, Food Court, Coffee Shop, Chinese Restaurant, Fast Food Restaurant, Restaurant, Gym, Asian Restaurant, Multiplex, Japanese Restaurant",1.316159889482386,103.86771574500827,11,Saturday
11,4729,"Food Court, Coffee Shop, Fast Food Restaurant, Asian Restaurant, Tea Room, Chinese Restaurant, Grocery Store, Convenience Store, Ramen /  Noodle House, Department Store",1.3125513440473673,103.86450143941637,7,Friday
41,3585,"Nightclub, Food Court, Coffee Shop, Fast Food Restaurant, Chinese Restaurant, Multiplex, Japanese Restaurant, Fried Chicken Joint, Burger Joint, Department Store",1.3146748940027893,103.8651771032078,11,Saturday
21,2216,"Nightclub, Food Court, Multiplex, Chinese Restaurant, Asian Restaurant, Fast Food Restaurant, Coffee Shop, Japanese Restaurant, Shoe Store, Bar",1.3070600419675091,103.84945523601083,10,Saturday
