POI Category,Avg Check-ins per Day
Bus Station,1.2962962962962963
Burger Joint,1.0
Fast Food Restaurant,1.0
Mall,1.8620689655172413
Electronics Store,1.0
Clothing Store,1.7777777777777777
Train Station,1.0769230769230769
Subway,1.6153846153846154
Multiplex,1.0
Coffee Shop,1.0
Sporting Goods Shop,1.5
Bank,1.0
Scenic Lookout,1.0
Building,1.0
Food Court,1.0
Grocery Store,1.1111111111111112
Tea Room,1.0
Home (private),1.1139240506329113
Government Building,1.0
Park,1.0
Soccer Field,1.0
Gym / Fitness Center,1.0
Men's Store,1.6666666666666667
Shoe Store,2.0
Kids Store,3.0
Boutique,2.0
Women's Store,1.0
Residential Building (Apartment / Condo),1.0
Indian Restaurant,1.0
Airport Terminal,1.0
Arcade,1.0
Fried Chicken Joint,1.0
Bus Line,1.0
Miscellaneous Shop,1.0
Bookstore,1.0
Department Store,1.0
Candy Store,1.0
Accessories Store,1.0
Pool Hall,1.0
Convenience Store,1.0
Gift Shop,1.0
Food & Drink Shop,1.0
Malaysian Restaurant,1.0
General College & University,1.0
Light Rail,2.0
Board Shop,1.0
Housing Development,1.0
Furniture / Home Store,1.0
