user_id,num_nodes,num_edges,num_self_loops,cat_Arts & Entertainment,cat_College & University,cat_Food,cat_Great Outdoors,cat_Nightlife Spot,cat_Professional & Other Places,cat_Residence,cat_Shop & Service,cat_Travel & Transport,degree_Arts & Entertainment,degree_College & University,degree_Food,degree_Great Outdoors,degree_Nightlife Spot,degree_Professional & Other Places,degree_Residence,degree_Shop & Service,degree_Travel & Transport,total_distance,mean_distance,max_distance,min_distance,mean_time_between_checkins,PCA_KMeans,PCA_Agglomerative,PCA_DBSCAN,PCA_GMM
215458,7,21,3,0,0,0,0,0,0,0,0,0,2,0,7,1,0,1,0,5,3,156.1214579585441,3.630731580431259,16.874553787632085,0.0,206.4018087855297,2,2,0,4
200954,6,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,2,6,145.77832227345183,3.939954656039239,13.67773833176176,0.0420577272163978,114.22617117117116,6,1,-1,2
96788,9,41,5,0,0,0,0,0,0,0,0,0,5,5,8,3,0,4,1,7,6,302.5616627476819,3.0561784115927475,16.9936819740328,0.0,126.07737373737372,3,3,-1,3
8273,9,47,6,0,0,0,0,0,0,0,0,0,7,3,8,3,6,7,0,6,6,1133.132684602604,5.751942561434546,26.146232619554173,0.0,64.46212351945854,0,4,-1,0
191064,6,24,4,0,0,0,0,0,0,0,0,0,5,0,6,0,1,3,0,5,4,277.2336358128436,5.230823317223464,14.831265084171722,0.0,238.10825471698115,2,0,0,4
201374,6,14,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,5,0,1,2,101.45899729996148,3.757740640739313,14.31601908237019,0.0,451.6396090534979,2,1,-1,4
125516,7,18,3,0,0,0,0,0,0,0,0,0,2,0,3,1,1,4,0,6,1,277.970144966608,5.450394999345254,17.11784413393634,0.0123167452132111,220.22850217864928,2,2,0,6
141426,5,22,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,5,5,140.85331607968348,1.929497480543609,16.661852541453214,0.0,76.92270547945206,4,0,-1,4
77196,5,9,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1,259.42763439922777,6.827043010505994,14.020682158970567,0.0,296.1087938596491,2,1,-1,4
225593,8,27,3,0,0,0,0,0,0,0,0,0,2,6,5,1,2,2,0,6,3,247.7109011469706,4.198489849948656,12.402520176864376,0.0,193.60125706214689,1,3,-1,3
