POI Category,Avg Check-ins per Day
Bed & Breakfast,1.0
Hotel Pool,1.0
Basketball Court,1.0
Fried Chicken Joint,1.3636363636363635
Planetarium,1.0
Tech Startup,1.0
Grocery Store,1.0
College Classroom,1.0
Arcade,1.0
Caf,1.0666666666666667
Mountain,1.0
Home (private),1.6428571428571428
Concert Hall,1.0
Theme Park,1.3333333333333333
Dog Run,1.25
High School,1.0
Hiking Trail,1.0
Monument / Landmark,1.0
Paper / Office Supplies Store,1.0
Burger Joint,1.0
Trade School,1.0
Gym,1.0
College Auditorium,1.2
College Theater,1.0
Dance Studio,1.0
College Lab,1.2
Event Space,1.4166666666666667
Building,1.2142857142857142
Church,1.0
Accessories Store,1.0
Residential Building (Apartment / Condo),1.0
Antique Shop,1.0
Field,1.0
Record Shop,1.5
Rest Area,1.0
Nightclub,1.0
Other Nightlife,1.0
Candy Store,1.0
Resort,1.0
Sculpture Garden,1.0
Korean Restaurant,1.0
Professional & Other Places,1.0
French Restaurant,1.0
Vineyard,1.0
Pool Hall,1.0
Light Rail,1.0
Strip Club,1.0
Rock Club,1.2
Brewery,1.0
Breakfast Spot,1.0
Comedy Club,1.0
Mall,1.2666666666666666
Bus Station,1.0
Garden,1.0
Bridge,1.0
Sorority House,1.0
Convenience Store,1.0
Martial Arts Dojo,1.0
Bus Line,1.0
Coffee Shop,1.1111111111111112
Indian Restaurant,1.3333333333333333
Miscellaneous Shop,1.0
Bakery,1.0
Fast Food Restaurant,1.0
Multiplex,1.0
College & University,1.0
Mosque,1.0
Community College,1.0
College Technology Building,1.3333333333333333
Pool,1.25
Office,1.0
Hospital,1.2727272727272727
Campground,1.0
Playground,1.0
Music Store,1.0
General College & University,1.0
Snack Place,1.2
College Cafeteria,1.125
Soccer Field,1.0
Video Store,1.0
Smoke Shop,1.0
Flea Market,1.0
Student Center,1.0
College Administrative Building,1.0
Japanese Restaurant,1.0
Tea Room,1.0
Drugstore / Pharmacy,1.0
Bank,1.0
Karaoke Bar,1.0
Military Base,1.0
College Library,1.0
Chinese Restaurant,1.0
Tennis,1.0
College Engineering Building,1.0
College Academic Building,1.0
Food Court,1.0
Parking,1.0
Convention Center,1.0
Electronics Store,1.0
Train Station,1.25
Government Building,1.0
Moving Target,1.0
Plaza,1.0
BBQ Joint,1.0
Bowling Alley,1.5
German Restaurant,1.0
Middle Eastern Restaurant,1.0
General Entertainment,1.0
Cosmetics Shop,1.0
Bagel Shop,1.0
Medical Center,1.0
Mexican Restaurant,1.0
Coworking Space,1.0
Skating Rink,1.0
Scenic Lookout,1.0
Boutique,1.0
American Restaurant,1.0
College Quad,1.0
Performing Arts Venue,1.0
Shoe Store,1.0
Salon / Barbershop,1.0
Hotel,1.0
Neighborhood,1.0
General Travel,1.0
College Stadium,1.0
Subway,1.0
Sushi Restaurant,1.0
Bike Shop,1.0
Library,1.0
Art Gallery,1.0
Ice Cream Shop,1.3333333333333333
Tapas Restaurant,1.0
Italian Restaurant,1.0
Steakhouse,1.0
Sporting Goods Shop,1.0
Sandwich Place,1.0
Housing Development,1.0
Harbor / Marina,1.0
Cupcake Shop,1.0
Department Store,1.0
School,2.0
Other Great Outdoors,1.0
Baseball Stadium,2.0
College Communications Building,1.0
Spa / Massage,1.0
