user_id,main_grid_cell,num_unique_grid_cells,fraction_in_main_grid_cell,grid_entropy
21418,cell_7_6,10,0.3486238532110092,2.6417992773131043
49530,cell_5_5,14,0.30319148936170215,2.8590647751226097
82310,cell_6_7,13,0.3425925925925926,2.7326710266312557
74138,cell_5_5,13,0.5301204819277109,2.5402389283330176
56776,cell_5_5,12,0.5380434782608695,2.226270997281796
198384,cell_5_5,8,0.3684210526315789,2.276389085839175
105049,cell_7_6,7,0.4580152671755725,1.9092191398977343
174198,cell_7_8,12,0.32,2.8154003678788517
72021,cell_8_9,10,0.44871794871794873,2.2362805125946137
203821,cell_5_5,8,0.7252747252747253,1.3547175865980599
126,cell_7_9,23,0.20413793103448277,3.612000561142171
4678,cell_6_8,19,0.3435114503816794,2.876270383331443
64094,cell_7_8,12,0.6529411764705882,1.7161137399873971
122278,cell_5_5,14,0.48214285714285715,2.600189859427475
126476,cell_6_7,8,0.2823529411764706,2.3335951250625593
38192,cell_6_6,14,0.3010204081632653,2.8418897350794614
198469,cell_6_3,17,0.20588235294117646,3.5808407729618454
38475,cell_8_7,11,0.5120481927710844,2.05857217830638
24592,cell_5_3,14,0.7019867549668874,1.7267668702723078
23956,cell_5_5,11,0.2956989247311828,2.506208310506714
37027,cell_6_6,15,0.38317757009345793,2.8728916297265985
56817,cell_7_5,8,0.6203703703703703,1.8986661646845646
1054,cell_6_6,14,0.30880929332042595,2.700657902288664
148499,cell_6_5,12,0.2619047619047619,3.1106939628781025
136926,cell_7_6,3,0.5,1.3896749186460426
2967,cell_6_5,18,0.24271844660194175,3.26118625550152
259148,cell_5_5,7,0.5172413793103449,2.1274986274209216
33397,cell_7_9,16,0.3026315789473684,3.2592015150079043
912,cell_7_6,15,0.5483870967741935,2.2313288312926525
41607,cell_7_6,8,0.509090909090909,1.9771988633356674
140074,cell_6_3,12,0.2826086956521739,2.9386232502829754
34402,cell_5_4,9,0.5656565656565656,1.934630769299422
221155,cell_7_8,10,0.2857142857142857,2.8735588727265724
37295,cell_5_5,12,0.20108695652173914,2.908124654758241
4441,cell_7_8,12,0.5699588477366255,1.7873510170634568
18563,cell_4_4,14,0.23880597014925373,2.913570151310798
12763,cell_7_6,11,0.47315436241610737,2.2933735480546646
49984,cell_7_5,10,0.43859649122807015,1.8757410871707765
159705,cell_5_3,12,0.273972602739726,2.9924167513221387
201191,cell_6_8,10,0.5135135135135135,2.1648398607977635
234049,cell_5_4,7,0.35714285714285715,2.4210690060279974
52987,cell_7_8,13,0.4017094017094017,2.3416557727010363
259167,cell_8_8,3,0.5769230769230769,1.095720799937063
79974,cell_6_3,11,0.6074766355140186,1.9478420273453056
1865,cell_7_5,16,0.2967914438502674,3.078610682861233
240807,cell_7_8,11,0.2926829268292683,2.904663589245192
12764,cell_7_6,12,0.7348484848484849,1.4973781829778565
7532,cell_6_5,12,0.5271966527196653,1.9266085135230258
34664,cell_6_5,9,0.5579710144927537,1.909589373109975
71426,cell_7_6,10,0.6985294117647058,1.6279194462046913
21942,cell_6_5,12,0.4786729857819905,2.277303191722475
221167,cell_7_8,13,0.3548387096774194,2.819578139942552
93761,cell_7_5,9,0.8831168831168831,0.8648713042660303
47580,cell_5_5,15,0.371900826446281,2.980887486282181
61854,cell_7_5,12,0.6699029126213593,1.902302468611976
4876,cell_8_8,13,0.4059040590405904,2.51229249750315
35446,cell_7_8,7,0.8269230769230769,1.0782059436665623
119623,cell_8_7,8,0.6666666666666666,1.7463808823194225
14922,cell_6_3,8,0.6473214285714286,1.5786461137712737
135375,cell_7_5,13,0.6195652173913043,2.096003970781057
