user_id,place_id,datetime,timezone,lat,lon,cluster
203821,4e46e095183849317e7cfb58,Tue Apr 03 19:51:02 +0000 2012,480,1.306273,103.826466,4
203821,4eca6e83be7ba4fc71d9c8a6,Tue Apr 03 20:00:36 +0000 2012,480,1.306302,103.828054,4
129438,4b0cc7baf964a520cc4123e3,Wed Apr 04 03:41:37 +0000 2012,480,1.301392,103.905467,6
98734,4ebd69b949012e72feb37cdb,Wed Apr 04 04:33:15 +0000 2012,480,1.272235,103.802351,7
98734,4efbff319911cd89d088d2c2,Wed Apr 04 04:33:58 +0000 2012,480,1.273123,103.802096,7
98734,4b979c8cf964a520830b35e3,Wed Apr 04 04:35:01 +0000 2012,480,1.28008,103.802605,7
135576,4bd348af9854d13aa963fd4d,Wed Apr 04 23:41:32 +0000 2012,480,1.296276,103.802691,9
135576,4bbac615cf2fc9b639f4a102,Fri Apr 06 13:34:10 +0000 2012,480,1.2822,103.817192,9
203821,4f5cc2d6e4b082b23e46a194,Fri Apr 06 16:07:55 +0000 2012,480,1.296162,103.853286,4
203821,4f4bb74de4b0c132f449a4b0,Sat Apr 07 16:55:47 +0000 2012,480,1.300045,103.850019,4
98734,4e6c46e0b993061ea8bbd67e,Sun Apr 08 04:10:27 +0000 2012,480,1.301332,103.850183,7
135576,4bd311cd046076b027107571,Sun Apr 08 04:34:18 +0000 2012,480,1.28629,103.827341,9
135576,4bbac615cf2fc9b639f4a102,Sun Apr 08 05:01:11 +0000 2012,480,1.2822,103.817192,9
135576,4b9b5ce8f964a520a90236e3,Mon Apr 09 22:35:10 +0000 2012,480,1.292599,103.812867,9
98734,4c2d3cdb4e132d7fff299cdf,Tue Apr 10 01:06:26 +0000 2012,480,1.308801,103.849232,7
201784,4bd311cd046076b027107571,Tue Apr 10 04:39:03 +0000 2012,480,1.28629,103.827341,0
201784,4b058814f964a52060b022e3,Tue Apr 10 04:54:35 +0000 2012,480,1.342174,103.952879,0
98734,4e58edfc8877c8a76ddda7f2,Tue Apr 10 05:06:05 +0000 2012,480,1.305956,103.850495,7
201784,4b08e700f964a520421323e3,Tue Apr 10 06:08:44 +0000 2012,480,1.304783,103.831938,0
98734,4c2d3cdb4e132d7fff299cdf,Tue Apr 10 06:37:13 +0000 2012,480,1.308801,103.849232,7
135576,4d425c848b88b1f7cfaaea33,Tue Apr 10 22:57:39 +0000 2012,480,1.293597,103.812771,9
98734,4c2d3cdb4e132d7fff299cdf,Wed Apr 11 02:45:45 +0000 2012,480,1.308801,103.849232,7
58421,4cdc980e958f236aa2adb303,Wed Apr 11 06:39:28 +0000 2012,480,1.383692,103.915966,5
58421,4b1dbce4f964a5209f1424e3,Wed Apr 11 07:20:55 +0000 2012,480,1.372115,103.893683,5
201784,4bd311cd046076b027107571,Wed Apr 11 08:18:45 +0000 2012,480,1.28629,103.827341,0
58421,4bd05f8277b29c7492928a82,Wed Apr 11 08:28:31 +0000 2012,480,1.371816,103.894006,5
58421,4b127444f964a520fd8923e3,Wed Apr 11 08:44:36 +0000 2012,480,1.370918,103.892459,5
203821,4f4bb74de4b0c132f449a4b0,Wed Apr 11 15:01:12 +0000 2012,480,1.300045,103.850019,4
203821,4cf4faa57bf3b60c8ee7727f,Wed Apr 11 17:49:14 +0000 2012,480,1.301081,103.841228,4
201784,4c775cda93faa093a2c5f0fb,Thu Apr 12 07:17:01 +0000 2012,480,1.301253,103.837023,0
98734,4cb3a7b5dd619c74ece0e590,Fri Apr 13 05:52:13 +0000 2012,480,1.273665,103.801575,7
201784,4bd311cd046076b027107571,Fri Apr 13 10:40:17 +0000 2012,480,1.28629,103.827341,0
58421,4bb9c1a6935e9521d3512790,Fri Apr 13 13:56:28 +0000 2012,480,1.299129,103.855391,5
203821,4b058815f964a520afb022e3,Fri Apr 13 15:46:21 +0000 2012,480,1.300304,103.844887,4
203821,4f4bb74de4b0c132f449a4b0,Fri Apr 13 18:31:49 +0000 2012,480,1.300045,103.850019,4
98734,4bd64e78cfa7b713227d27da,Sat Apr 14 01:56:26 +0000 2012,480,1.325626,103.827188,7
201784,4b1a2166f964a520b3e723e3,Sat Apr 14 11:22:33 +0000 2012,480,1.311078,103.794923,0
201784,4e0de29814956c6284f454c6,Sat Apr 14 11:48:06 +0000 2012,480,1.311546,103.794714,0
135576,4b6aaa76f964a5206cdb2be3,Sat Apr 14 12:06:10 +0000 2012,480,1.304776,103.831705,9
203821,4bd1e8a4462cb7135d28db07,Sat Apr 14 13:54:09 +0000 2012,480,1.287011,103.849062,4
201784,4b62ecb7f964a5201f592ae3,Sat Apr 14 14:08:02 +0000 2012,480,1.311218,103.795513,0
203821,4f4bb74de4b0c132f449a4b0,Sat Apr 14 17:09:08 +0000 2012,480,1.300045,103.850019,4
203821,4f4bb74de4b0c132f449a4b0,Sat Apr 14 17:09:21 +0000 2012,480,1.300045,103.850019,4
203821,4be2d629b02ec9b63cc94dc0,Sat Apr 14 20:57:54 +0000 2012,480,1.314423,103.878296,4
58421,4b4db849f964a52046d626e3,Sun Apr 15 12:31:41 +0000 2012,480,1.359388,103.885217,5
58421,4e07231a483b98d4170e8157,Sun Apr 15 12:38:09 +0000 2012,480,1.35949,103.885289,5
203821,4f4bb74de4b0c132f449a4b0,Sun Apr 15 15:55:46 +0000 2012,480,1.300045,103.850019,4
201784,4b602ff7f964a52015d929e3,Mon Apr 16 09:57:39 +0000 2012,480,1.319509,103.843457,0
58421,4bd05f8277b29c7492928a82,Mon Apr 16 12:30:52 +0000 2012,480,1.371816,103.894006,5
203821,4f4bb74de4b0c132f449a4b0,Mon Apr 16 15:59:09 +0000 2012,480,1.300045,103.850019,4
203821,4bec2a8561aca593cae38500,Mon Apr 16 19:04:16 +0000 2012,480,1.305114,103.927402,4
201784,4b08e700f964a520421323e3,Tue Apr 17 09:00:00 +0000 2012,480,1.304783,103.831938,0
201784,4b05880af964a520acad22e3,Tue Apr 17 10:07:56 +0000 2012,480,1.29812,103.855013,0
201784,4bbd6c8ea8cf76b0e4d8b1fd,Tue Apr 17 12:05:56 +0000 2012,480,1.292286,103.84077,0
135576,4b9b5ce8f964a520a90236e3,Wed Apr 18 01:46:30 +0000 2012,480,1.292599,103.812867,9
135576,4b9b5ce8f964a520a90236e3,Thu Apr 19 00:13:35 +0000 2012,480,1.292599,103.812867,9
135576,4f8f89cde4b04e174400ba1d,Thu Apr 19 03:44:42 +0000 2012,480,1.295145,103.805616,9
129438,4d4d3c5ad6f3224b0aa199a6,Thu Apr 19 04:53:59 +0000 2012,480,1.30205,103.904767,6
135576,4b62e805f964a5203d582ae3,Thu Apr 19 08:58:02 +0000 2012,480,1.286333,103.826865,9
135576,4b1e7356f964a5201f1a24e3,Thu Apr 19 10:45:43 +0000 2012,480,1.312151,103.83949,9
98734,4b18ee1ef964a52097d623e3,Fri Apr 20 00:27:57 +0000 2012,480,1.316505,103.882942,7
98734,4d3d10c98edf37046179b6a5,Fri Apr 20 00:56:25 +0000 2012,480,1.316715,103.878897,7
98734,4cc8d3255c17b60c7ac60505,Fri Apr 20 00:56:49 +0000 2012,480,1.316726,103.878902,7
135576,4d996622942ba093e1f29a8c,Fri Apr 20 03:55:51 +0000 2012,480,1.33829,103.932981,9
201784,4bd311cd046076b027107571,Fri Apr 20 04:44:22 +0000 2012,480,1.28629,103.827341,0
203821,4b5da988f964a520ae6529e3,Fri Apr 20 11:05:58 +0000 2012,480,1.350678,103.87275,4
203821,4b0d53daf964a520664623e3,Fri Apr 20 17:05:22 +0000 2012,480,1.290859,103.846008,4
98734,4c6b9ad51fb2a1431ebcf9e6,Sat Apr 21 02:43:40 +0000 2012,480,1.354033,103.945117,7
98734,4bc3c8d2abf495215b53c493,Sat Apr 21 02:44:26 +0000 2012,480,1.354067,103.945214,7
