user_id	place_id	datetime	timezone	lat	lon
74407	4d1983accc216ea8161e7ed3	Sat Aug 04 16:23:07 +0000 2012	480	1.29625	103.907057
38133	4b058814f964a5207fb022e3	Wed Nov 07 16:42:36 +0000 2012	480	1.290913	103.917538
31525	4c20b1c08082d13a7d00f82a	Fri Jun 01 14:30:54 +0000 2012	480	1.310519	103.955547
147802	4b762527f964a520d93f2ee3	Thu Jun 07 04:03:17 +0000 2012	480	1.299208	103.860707
41716	4d303302a241f04de7e5b127	Thu Apr 05 13:44:15 +0000 2012	480	1.295371	103.86922
78157	4b7152c1f964a5201e412de3	Tue Aug 07 15:23:02 +0000 2012	480	1.360363	103.857377
19044	4b21902cf964a520ff3d24e3	Sat May 05 08:44:09 +0000 2012	480	1.323586	103.854557
162161	4b058818f964a520c9b122e3	Tue Apr 03 05:45:28 +0000 2012	480	1.293981	103.857853
78426	4eb372c77ee5024d7e28ad3c	Thu Jul 05 15:53:39 +0000 2012	480	1.295606	103.860561
9111	4bd130b0caff95210367d0f0	Wed Jan 04 11:29:13 +0000 2012	480	1.321312	103.952058
143	4baf368df964a52059f13be3	Tue Nov 06 10:53:32 +0000 2012	480	1.324837	103.856438
33397	4bb610c81344b71318e99c04	Thu May 03 01:59:31 +0000 2012	480	1.298845	103.941316
76266	4ba8b4edf964a52095e839e3	Thu Sep 06 11:28:18 +0000 2012	480	1.292499	103.839671
3955	4f634610e4b09612ce762132	Sun Nov 04 10:31:29 +0000 2012	480	1.314413	103.914537
56776	4bb034e3f964a5204e3c3ce3	Sat Jan 07 01:26:07 +0000 2012	480	1.332291	103.852871
103495	4b107e74f964a520af7123e3	Sun Apr 01 10:14:17 +0000 2012	480	1.304458	103.955211
4687	4c5a4b0567ac0f475787064c	Sat Jan 07 11:48:04 +0000 2012	480	1.309035	103.825975
72908	4b1f4e15f964a5205b2524e3	Wed Oct 03 11:43:03 +0000 2012	480	1.290246	103.835319
33557	4b058818f964a520a2b122e3	Wed Jun 06 03:19:13 +0000 2012	480	1.317672	103.928619
9111	4ba5c898f964a520042239e3	Wed May 02 16:47:12 +0000 2012	480	1.353983	103.948083
4239	4e2fc0b68877341a5155a144	Sun May 06 11:50:02 +0000 2012	480	1.302227	103.832634
38133	4b666385f964a520dd1f2be3	Wed Jul 04 12:42:23 +0000 2012	480	1.313965	103.849067
25478	4ed780870e0189600b3994f6	Mon May 07 10:39:54 +0000 2012	480	1.314451	103.84971
105636	4bf1107121072d7f4b8c208b	Tue Jul 03 11:26:12 +0000 2012	480	1.274933	103.925613
7076	4c4acf9e712ac928210dfe6b	Wed Jul 04 10:59:39 +0000 2012	480	1.316093	103.854865
84885	4ffa8ad7e4b054fbabd8c960	Mon Apr 02 14:14:18 +0000 2012	480	1.302034	103.847575
4239	4b5fce70f964a5206ccd29e3	Wed Feb 01 12:07:36 +0000 2012	480	1.319635	103.974401
36819	4b833997f964a52030fe30e3	Thu Aug 02 09:29:42 +0000 2012	480	1.298144	103.861556
85731	4b4feb11f964a520801927e3	Wed Jul 04 14:30:27 +0000 2012	480	1.297136	103.919091
26826	4b058819f964a520f7b122e3	Tue May 01 04:53:32 +0000 2012	480	1.330635	103.862632
223574	4ca2d9e8d5a2a143e3824490	Thu Apr 05 17:36:36 +0000 2012	480	1.338459	103.859765
13904	50f1ad7be4b0403bd4282e45	Tue Jan 03 07:28:01 +0000 2012	480	1.338908	103.864945
34492	4b52f5c4f964a520678b27e3	Sun Apr 01 16:08:53 +0000 2012	480	1.294065	103.860041
26471	4b058812f964a520d7af22e3	Sat Jul 07 10:50:00 +0000 2012	480	1.30454	103.877928
162161	4b0bcea6f964a520c93323e3	Tue Apr 03 11:34:45 +0000 2012	480	1.358164	103.849268
6909	4bcd689e0687ef3b11dde0cc	Wed Apr 04 19:23:18 +0000 2012	480	1.318761	103.844791
82921	4ba5b9d4f964a520961e39e3	Wed Jul 04 16:06:24 +0000 2012	480	1.321527	103.942596
26471	4bf903af5317a59391aa007f	Mon May 07 11:41:09 +0000 2012	480	1.297721	103.866851
20528	4bf7dc1d4a67c9285c3e24cf	Wed May 02 04:11:33 +0000 2012	480	1.317039	103.905871
26131	4b058814f964a52087b022e3	Wed May 02 02:47:01 +0000 2012	480	1.387835	103.974521
4687	4bd41ef6462cb713f9c0df07	Fri Jun 01 16:42:57 +0000 2012	480	1.301314	103.812593
7177	4de87f17e4cd157353f80e28	Sat Nov 03 12:47:53 +0000 2012	480	1.302165	103.960731
143	4bb2d13314cfd13ae67615ab	Wed Mar 07 05:16:03 +0000 2012	480	1.399545	103.96237
31672	4bf7eb9e5ec320a138b587d3	Sat May 05 00:11:11 +0000 2012	480	1.347895	103.923722
