POI Category,Avg Check-ins per Day
Airport,1.0
Building,1.0235294117647058
Emergency Room,1.0
Tech Startup,1.0
Financial or Legal Service,1.0
Food Court,1.0125
Cosmetics Shop,1.0
Design Studio,1.0
Furniture / Home Store,1.0
Art Gallery,1.0
Office,1.5
Gas Station / Garage,1.0
Convenience Store,1.0
Subway,1.0
Mall,1.0
Fried Chicken Joint,1.0
Track Stadium,1.0
Diner,1.0
BBQ Joint,1.0
Ramen /  Noodle House,1.5
Chinese Restaurant,1.0
Coffee Shop,1.0
Playground,1.0
Tennis Court,1.0
Hotel,1.0
Department Store,1.0
Asian Restaurant,1.0
Dim Sum Restaurant,1.0
Bakery,1.0
Basketball Stadium,1.0
Caf,1.0
Soup Place,1.0
Miscellaneous Shop,1.0
Market,1.0
Seafood Restaurant,1.0
Grocery Store,1.0
Bank,1.0
Sporting Goods Shop,1.0
Hardware Store,1.0
Post Office,1.0
Road,1.0
