POI Category,Avg Check-ins per Day
Airport,1.0
Subway,1.4461538461538461
Mall,1.2419354838709677
Office,1.7894736842105263
Gas Station / Garage,1.0
Convenience Store,1.0
Fried Chicken Joint,1.0
Bus Station,1.0
Farmers Market,1.0
Thai Restaurant,1.0
Furniture / Home Store,1.0
Art Gallery,1.0
Burger Joint,1.1666666666666667
Food Court,1.0909090909090908
Hot Dog Joint,1.0
Smoke Shop,2.0
Coffee Shop,1.0
Event Space,1.0
Student Center,1.0
Bank,1.3333333333333333
Italian Restaurant,1.25
Ramen /  Noodle House,1.0
Tea Room,1.0
Arcade,1.5
Ski Lodge,1.0
Soccer Field,1.0
Seafood Restaurant,1.0
Boutique,1.0
Art Museum,1.0
Building,1.0
Mexican Restaurant,1.5
Brewery,1.0
Taxi,1.0
Hotel,1.1428571428571428
Convention Center,1.0
Multiplex,1.0
Food Truck,1.0
Spa / Massage,1.0
Drugstore / Pharmacy,1.0
University,1.0
Soup Place,1.0
Caf,1.0
Pier,1.0
Scenic Lookout,1.0
Salon / Barbershop,1.0
Restaurant,1.0
Nightclub,1.0
Bus Line,1.0
Train Station,1.0
Stadium,2.0
Gift Shop,1.0
Chinese Restaurant,1.2
Asian Restaurant,1.1666666666666667
Bakery,1.0
Field,1.0
Record Shop,1.0
Arts & Crafts Store,1.0
Korean Restaurant,1.0
Butcher,1.0
Other Nightlife,1.0
Malaysian Restaurant,1.0
Coworking Space,1.5
Campaign Office,1.0
Vegetarian / Vegan Restaurant,1.0
Dessert Shop,1.0
Wine Bar,1.0
Bridge,1.0
Deli / Bodega,1.0
Shoe Store,1.0
Donut Shop,1.0
Pizza Place,1.0
Sandwich Place,1.0
Japanese Restaurant,1.0
Ice Cream Shop,1.0
Hobby Shop,1.0
Miscellaneous Shop,1.0
Gym / Fitness Center,1.0
Gym Pool,1.0
Sushi Restaurant,1.0
Indian Restaurant,1.0
Fast Food Restaurant,1.0
Bowling Alley,1.0
Grocery Store,1.0
Soccer Stadium,1.0
Park,1.0
Lingerie Store,1.0
Department Store,1.0
Island,1.0
Beach,1.0
Resort,1.0
College Administrative Building,1.0
Karaoke Bar,1.0
Steakhouse,1.0
American Restaurant,1.0
