POI Category,Avg Check-ins per Day
Diner,1.0476190476190477
Chinese Restaurant,1.0
Ramen /  Noodle House,1.72
BBQ Joint,1.0
Office,1.88
Gas Station / Garage,1.0
Convenience Store,1.0
Subway,1.1428571428571428
Furniture / Home Store,1.5
Bus Station,1.0
Financial or Legal Service,1.4
Mall,1.1666666666666667
Clothing Store,1.0
Burger Joint,1.5
Fast Food Restaurant,1.0
Fried Chicken Joint,1.0
Food Court,1.0
Smoke Shop,1.0
Coffee Shop,1.0
Tea Room,1.0
Department Store,1.0
Indian Restaurant,1.0
Record Shop,1.0
Design Studio,1.0
Arcade,1.0
Hospital,1.0
Wine Bar,1.0
College Academic Building,1.0
Pool,1.0
College Cafeteria,1.5
College Library,1.0
College Classroom,1.0
Building,1.0
Emergency Room,1.0
Tech Startup,1.0
Tennis Court,1.0
Gym,1.0
Pet Store,1.0
Spa / Massage,1.0
Football Stadium,1.0
Asian Restaurant,1.0
Food,1.0
Dim Sum Restaurant,1.0
Bank,1.0
Soup Place,1.0
Farmers Market,1.0
Men's Store,1.0
Cosmetics Shop,1.0
Lingerie Store,1.0
Miscellaneous Shop,1.0
Government Building,1.0
College Gym,1.0
Bus Line,1.0
Mobile Phone Shop,1.0
Boutique,1.0
General Entertainment,1.0
Caf,1.0
Embassy / Consulate,1.0
