POI Category,Avg Check-ins per Day
High School,1.105263157894737
Residential Building (Apartment / Condo),1.8448275862068966
Building,1.0
Bus Station,1.0952380952380953
Train Station,1.0
Student Center,1.0
Spa / Massage,1.0
Karaoke Bar,1.0
Grocery Store,1.0
Playground,1.0
Food Court,1.0
Neighborhood,1.0
Mall,1.0
Fast Food Restaurant,1.0
Home (private),1.0769230769230769
Hotel,1.0
Casino,1.0
Mosque,1.0
College Library,1.0
Comedy Club,1.0
Arepa Restaurant,1.0
Moving Target,1.0
Bank,1.0
Strip Club,1.0
