POI Category,Avg Check-ins per Day
Building,1.0
Caf,1.5
Fast Food Restaurant,1.0
Mall,1.0555555555555556
Subway,1.0
Train Station,1.0
Tea Room,1.0
Japanese Restaurant,1.0
Park,1.0
Chinese Restaurant,1.0
Home (private),1.0
Bus Station,1.0
Temple,1.0
Food Court,1.0
Housing Development,1.15
Shoe Store,1.0
Ramen /  Noodle House,1.0
Smoke Shop,1.0
Gym,1.125
Nightclub,1.0
Restaurant,1.0
Spa / Massage,1.0
Military Base,1.0
Playground,1.0
Convenience Store,1.0
Fried Chicken Joint,1.0
Video Game Store,1.0
Toy / Game Store,1.0
Bakery,1.0
Karaoke Bar,1.0
College Gym,1.0
Snack Place,1.0
Multiplex,1.0
Electronics Store,1.0
Concert Hall,1.0
Burger Joint,2.0
Video Store,1.0
Dessert Shop,1.0
Bookstore,2.0
Asian Restaurant,1.0
Department Store,1.0
Coffee Shop,1.0
Flea Market,1.0
Furniture / Home Store,1.0
Hotel,1.0
Italian Restaurant,1.0
Resort,1.0
Accessories Store,1.0
Boutique,1.0
Pool Hall,1.0
Seafood Restaurant,1.0
Thai Restaurant,1.0
Ice Cream Shop,1.0
Office,1.0
Emergency Room,1.0
Miscellaneous Shop,1.0
