POI Category,Avg Check-ins per Day
Mall,1.5454545454545454
Pizza Place,1.0
French Restaurant,1.5
Candy Store,1.0
Building,1.0
Bank,1.0
Train Station,2.0
Fast Food Restaurant,1.0
Coffee Shop,1.0
Caf,1.0
Snack Place,1.0
Accessories Store,1.0
Chinese Restaurant,1.0
Food Court,1.0
Beer Garden,1.0
Tea Room,1.0
Burger Joint,1.0
Bus Station,1.0
Grocery Store,1.0
Ramen /  Noodle House,1.0
Bakery,1.0
Fried Chicken Joint,1.0
Multiplex,1.0
Shoe Store,1.0
Gym,1.0
College Gym,1.0
American Restaurant,1.0
Salon / Barbershop,1.0
Hotel,1.0
Sandwich Place,1.0
Dessert Shop,1.0
Ice Cream Shop,1.3333333333333333
Steakhouse,1.0
Smoke Shop,1.0
Spa / Massage,1.0
Food,1.0
Japanese Restaurant,1.0
Karaoke Bar,1.0
Neighborhood,1.0
Hospital,1.0
Military Base,1.0
Video Game Store,1.0
Restaurant,1.0
Toy / Game Store,1.0
Rest Area,1.0
Asian Restaurant,1.0
Dumpling Restaurant,1.0
Seafood Restaurant,1.0
Men's Store,1.0
Office,2.0
Cosmetics Shop,1.0
