POI Category,Avg Check-ins per Day
Gym,1.0
Strip Club,1.0
Rock Club,1.0
Brewery,1.0
Field,1.0
Food Court,1.3333333333333333
Residential Building (Apartment / Condo),1.3333333333333333
Building,1.1111111111111112
Arcade,1.0
Dog Run,1.0
Monument / Landmark,1.0
Office,1.0
Trade School,1.0909090909090908
Dance Studio,1.2
Snack Place,1.0
College Academic Building,1.0
Tech Startup,1.0
Pool,1.0
General College & University,1.0
College Technology Building,1.0909090909090908
Middle Eastern Restaurant,1.0
Resort,1.0
Home (private),1.5833333333333333
Fried Chicken Joint,1.1428571428571428
Bridge,1.0
Theme Park,1.0
Event Space,1.0
Hotel Pool,1.0
Hospital,1.2307692307692308
College Auditorium,1.4666666666666666
Chinese Restaurant,1.0
College Lab,1.0
Miscellaneous Shop,1.0
College Theater,1.0
Soccer Field,1.0
College Administrative Building,1.0
Smoke Shop,1.0
Martial Arts Dojo,1.0
College Engineering Building,1.0
Student Center,1.0
Campground,1.0
Playground,1.0
Bus Station,1.3333333333333333
Park,1.0
German Restaurant,1.5
Other Nightlife,1.0
Bus Line,1.0
Hockey Arena,1.0
Road,1.0
College Library,1.0
High School,1.0
Medical Center,1.0
Grocery Store,1.0
Cosmetics Shop,1.0
Caf,1.0
College Cafeteria,2.0
General Entertainment,1.0
Flower Shop,2.0
Train Station,1.0
Yoga Studio,1.0
Government Building,1.0
Convenience Store,1.0
Coffee Shop,1.5
Performing Arts Venue,1.0
Fast Food Restaurant,1.0
College Classroom,1.0
School,1.0
Bagel Shop,1.0
Indian Restaurant,1.0
Golf Course,1.0
Bike Shop,1.0
Nightclub,1.0
Accessories Store,1.0
College Stadium,1.0
Japanese Restaurant,1.0
Sushi Restaurant,1.0
Bakery,1.0
Sandwich Place,1.0
Food & Drink Shop,1.0
Basketball Court,1.0
Housing Development,1.0
Baseball Stadium,1.0
Thai Restaurant,1.0
