POI Category,Avg Check-ins per Day
Train Station,1.118421052631579
Government Building,1.0
Home (private),1.152542372881356
Office,1.3478260869565217
Food Court,1.1818181818181819
Coffee Shop,1.0
Parking,1.0
Subway,1.5172413793103448
Bus Station,1.15
Event Space,1.0
Fast Food Restaurant,1.0
Rest Area,1.0
Taxi,1.03125
Building,1.1111111111111112
Food & Drink Shop,1.0
Road,1.0
Laundry Service,1.0
Grocery Store,1.25
Post Office,1.0
Vegetarian / Vegan Restaurant,1.0
Resort,1.0
Restaurant,1.0
Hospital,1.0
Coworking Space,1.0
Residential Building (Apartment / Condo),1.0
Other Great Outdoors,1.0
Scenic Lookout,1.0
Chinese Restaurant,1.0
Asian Restaurant,1.0
Caf,1.0
Temple,1.0
Soup Place,1.0
Dessert Shop,1.0
Convenience Store,1.0
General Entertainment,1.0
Medical Center,1.0
Flea Market,1.0
Library,1.0
Miscellaneous Shop,1.0
Mall,1.0
Doctor's Office,1.0
General College & University,1.0
Newsstand,1.0
Bakery,1.0
Arcade,1.0
Housing Development,1.0
Tea Room,1.0
Bank,1.25
Park,1.0
Snack Place,1.0
Gym,1.0
Financial or Legal Service,1.0
Salon / Barbershop,1.0
Sandwich Place,1.0
