POI Category,Avg Check-ins per Day
Home (private),1.2413793103448276
Building,1.4285714285714286
Subway,1.1833333333333333
Food Court,1.0
Bus Station,1.4
Office,1.6037735849056605
Train Station,1.288888888888889
Church,1.0
Road,1.0
Scenic Lookout,1.0
Taxi,1.0
Government Building,1.0689655172413792
Coffee Shop,1.0
Mall,1.048780487804878
Rest Area,1.0
Department Store,1.0
Gaming Cafe,1.0
Coworking Space,1.0
Dim Sum Restaurant,1.0
Miscellaneous Shop,1.0
Asian Restaurant,1.0
Pet Store,1.0
Other Great Outdoors,1.0
Event Space,1.25
Fast Food Restaurant,1.0
Grocery Store,1.0
Harbor / Marina,1.0
Restaurant,1.0
Chinese Restaurant,1.0
Ramen /  Noodle House,1.0
Temple,1.0
Boutique,1.3333333333333333
Bus Line,1.0
Convention Center,1.0
Caf,1.0909090909090908
Electronics Store,1.0
Salon / Barbershop,1.0
Bookstore,1.0
Pool,1.0
BBQ Joint,1.0
Capitol Building,1.0
Drugstore / Pharmacy,1.0
Residential Building (Apartment / Condo),1.0
Dessert Shop,1.0
Deli / Bodega,1.0
Food Truck,1.0
Trade School,1.0
Soup Place,1.0
Neighborhood,1.0
Fried Chicken Joint,1.0
Other Nightlife,1.0
Medical Center,1.0
Housing Development,1.0
Flea Market,1.0
Convenience Store,1.0
Bank,1.0
Hospital,1.0
Bakery,1.0
Post Office,1.0
Snack Place,1.0
Parking,1.0
Cosmetics Shop,1.0
Newsstand,1.0
Auditorium,1.0
Steakhouse,1.0
Casino,1.0
Fish & Chips Shop,1.0
Skate Park,1.0
Tea Room,1.0
Gas Station / Garage,1.0
Hotel Pool,1.0
Financial or Legal Service,1.0
Food & Drink Shop,1.0
Fish Market,1.0
Garden,1.0
General Travel,1.0
Multiplex,1.0
Seafood Restaurant,1.0
