year,month,day,hour,count
2012,4,4,15,1
2012,4,10,16,1
2012,4,11,14,2
2012,4,12,12,1
2012,4,18,9,1
2012,4,19,8,1
2012,4,20,10,1
2012,4,21,9,2
2012,4,23,8,1
2012,4,24,8,1
2012,5,2,9,1
2012,5,4,10,1
2012,5,5,16,1
2012,5,5,18,1
2012,5,5,22,2
2012,5,7,7,1
2012,5,7,14,1
2012,5,9,10,1
2012,5,9,12,1
2012,5,9,16,1
2012,5,9,17,2
2012,5,10,8,1
2012,5,11,9,1
2012,5,11,13,1
2012,5,11,14,1
2012,5,11,15,1
2012,5,12,15,1
2012,5,13,19,1
2012,5,13,21,1
2012,5,14,7,1
2012,5,14,8,1
2012,5,16,10,1
2012,5,16,16,2
2012,5,16,17,3
2012,5,16,18,1
2012,5,17,8,1
2012,5,17,11,1
2012,5,17,16,2
2012,5,17,17,3
2012,5,19,10,1
2012,5,19,11,2
2012,5,19,13,1
2012,5,22,7,1
2012,5,22,12,1
2012,5,22,18,1
2012,5,24,11,2
2012,5,24,18,1
2012,5,28,14,2
2012,5,28,19,1
2012,5,30,8,1
2012,6,4,16,2
2012,6,5,12,1
2012,6,5,20,1
2012,6,6,18,1
2012,6,9,11,1
2012,6,10,23,1
2012,6,11,21,2
2012,6,12,14,3
2012,6,12,17,1
2012,6,14,13,1
2012,6,14,14,1
2012,6,14,17,1
2012,6,27,9,2
2012,6,27,16,3
2012,6,27,17,2
2012,6,27,18,2
2012,7,4,17,1
2012,7,5,14,1
2012,7,7,8,2
2012,7,7,9,1
2012,7,7,20,2
2012,7,8,14,1
2012,7,11,9,1
2012,7,11,16,2
2012,7,11,17,2
2012,7,13,9,1
2012,7,14,11,2
2012,7,16,8,1
2012,11,16,11,1
2012,11,20,11,1
2012,11,23,9,1
2012,11,23,20,1
2012,11,25,14,1
2012,11,25,15,2
2012,11,25,16,1
2012,12,1,8,1
2012,12,6,12,1
2012,12,7,13,1
2012,12,7,14,1
2012,12,7,15,1
2012,12,7,16,1
2012,12,8,17,1
2012,12,8,19,1
2012,12,9,13,1
2012,12,9,14,1
2012,12,9,18,1
2012,12,10,10,1
2012,12,11,12,1
2012,12,11,15,1
2012,12,11,16,1
2012,12,15,21,1
2012,12,15,22,1
2012,12,16,10,1
2012,12,16,13,1
2012,12,16,16,1
2012,12,17,10,1
2012,12,17,13,1
2012,12,18,16,2
2012,12,18,17,1
2012,12,18,18,1
2012,12,18,20,1
2012,12,19,15,2
2012,12,19,19,1
2012,12,22,13,1
2012,12,22,19,1
2012,12,23,19,1
2012,12,27,18,2
2012,12,27,19,1
2012,12,29,18,1
2012,12,31,20,2
2013,1,2,10,1
2013,1,4,8,1
2013,1,4,15,1
2013,1,4,16,1
2013,1,9,14,1
2013,1,9,15,1
2013,1,9,16,1
2013,1,9,18,1
2013,1,9,19,1
2013,1,11,9,1
2013,1,14,17,1
2013,1,14,18,1
2013,1,15,10,1
2013,1,16,17,1
2013,1,18,19,1
2013,1,22,16,2
2013,1,22,17,1
2013,1,24,18,1
2013,1,25,13,1
2013,1,26,16,1
2013,1,26,21,2
2013,1,30,10,1
2013,1,30,15,1
2013,1,30,16,1
2013,1,31,9,1
2013,1,31,15,1
2013,1,31,17,1
2013,1,31,20,1
2013,2,1,15,1
2013,2,1,23,1
2013,2,2,15,1
2013,2,2,16,1
2013,2,4,19,1
2013,2,4,20,1
2013,2,5,16,1
2013,2,5,17,2
2013,2,5,18,1
2013,2,8,9,1
2013,2,8,16,1
2013,2,8,17,2
2013,2,8,19,1
2013,2,11,17,1
2013,2,11,18,2
2013,2,12,16,1
2013,2,14,10,2
2013,2,14,17,1
2013,2,18,13,1
2013,2,21,18,1
2013,2,21,19,1
2013,2,22,15,1
2013,2,26,16,1
2013,2,26,21,2
2013,3,5,18,2
2013,3,7,16,1
2013,3,7,21,2
2013,3,11,20,1
2013,3,12,16,1
2013,3,12,17,1
2013,3,12,21,1
2013,3,13,16,1
2013,3,14,22,1
2013,3,15,18,1
2013,3,15,20,1
2013,3,16,16,1
2013,3,16,17,1
2013,3,16,22,1
2013,3,17,14,1
2013,3,17,15,1
2013,3,18,16,1
2013,3,19,16,1
2013,3,24,19,1
2013,3,26,18,1
2013,3,27,19,1
2013,3,28,19,1
2013,3,28,20,1
2013,3,28,21,1
2013,3,30,10,1
2013,3,30,11,1
2013,3,30,15,1
2013,3,30,16,1
2013,3,30,20,2
2013,4,1,20,1
2013,4,4,17,1
2013,4,4,19,1
2013,4,5,13,1
2013,4,8,11,1
2013,4,8,17,1
2013,4,8,19,1
2013,4,9,14,1
2013,4,9,21,1
2013,4,11,13,1
2013,4,11,16,1
2013,4,11,17,3
2013,4,11,19,1
2013,4,17,16,1
2013,4,17,17,3
2013,4,17,19,1
2013,4,20,13,1
2013,4,20,15,1
2013,4,20,18,1
2013,4,20,19,1
2013,4,22,10,1
2013,4,22,19,1
2013,4,24,14,1
2013,4,24,15,3
2013,4,24,16,1
2013,4,24,17,1
2013,4,26,9,1
2013,4,29,10,1
2013,4,29,21,1
2013,4,30,12,1
2013,5,1,18,1
2013,5,1,19,1
2013,5,3,9,1
2013,5,6,10,1
2013,5,11,16,1
2013,5,11,17,1
2013,5,14,8,1
2013,5,15,17,1
2013,5,15,19,1
2013,5,16,14,1
2013,5,17,9,1
2013,5,18,22,1
2013,5,24,16,1
2013,5,25,17,2
2013,5,31,16,1
2013,6,1,17,1
2013,6,5,15,1
2013,6,17,13,1
2013,6,29,16,1
2013,7,1,19,1
2013,7,1,21,1
2013,7,5,8,1
2013,7,15,1,1
2013,7,15,10,1
2013,7,17,16,1
2013,7,17,19,1
2013,7,22,11,1
2013,7,29,15,1
2013,7,29,18,2
2013,7,30,16,1
2013,8,2,20,1
2013,8,2,22,1
2013,8,5,13,1
2013,8,8,21,2
2013,8,14,14,1
2013,8,23,17,1
2013,8,23,18,1
2013,8,24,19,1
2013,8,31,0,1
2013,9,5,20,1
2013,9,6,18,1
2013,9,14,1,1
2013,9,14,20,1
