year,month,day,hour,count
2012,4,12,18,1
2012,4,12,19,1
2012,4,15,11,1
2012,4,28,18,1
2012,5,2,19,1
2012,5,7,13,1
2012,5,11,21,1
2012,5,13,12,1
2012,5,13,14,1
2012,5,13,15,1
2012,5,14,15,2
2012,5,15,8,1
2012,5,19,23,1
2012,5,21,17,1
2012,5,21,19,1
2012,5,26,12,1
2012,5,26,13,2
2012,5,26,16,2
2012,5,27,12,1
2012,5,27,15,1
2012,5,27,18,1
2012,5,28,17,1
2012,5,28,18,1
2012,6,4,11,2
2012,6,8,19,1
2012,6,9,15,1
2012,6,11,10,1
2012,6,11,12,1
2012,6,11,13,1
2012,6,11,15,1
2012,6,11,17,2
2012,6,14,18,1
2012,6,14,19,1
2012,6,15,20,3
2012,6,15,21,1
2012,6,17,11,1
2012,6,17,18,1
2012,6,18,10,1
2012,6,18,14,2
2012,6,27,8,1
2012,7,7,20,1
2012,7,13,15,1
2012,7,14,19,1
2012,7,16,15,2
2012,7,17,15,1
2012,7,28,18,1
2012,7,29,18,1
2012,7,30,12,1
2012,8,11,16,2
2012,9,6,11,2
2012,9,6,12,1
2012,10,13,13,1
2012,10,19,20,1
2012,10,23,13,1
2012,10,24,13,1
2012,10,27,19,1
2012,10,31,15,1
2012,11,6,20,1
2012,11,8,18,1
2012,11,11,17,2
2012,11,22,14,1
2012,11,22,19,1
2012,11,24,16,1
2012,11,24,19,1
2012,11,25,23,1
2012,12,3,11,1
2012,12,3,14,1
2012,12,3,17,1
2012,12,3,19,1
2012,12,4,19,1
2012,12,5,5,1
2012,12,5,6,1
2012,12,11,0,1
2012,12,17,10,1
2012,12,17,13,1
2012,12,21,19,1
2012,12,31,10,1
2012,12,31,12,1
2013,1,22,16,1
2013,1,31,15,1
2013,2,2,18,2
2013,2,11,10,2
2013,3,6,17,1
2013,3,8,14,1
2013,3,16,20,1
2013,3,18,8,1
2013,5,1,18,1
2013,5,4,18,1
2013,5,15,14,1
