year,month,day,hour,count
2012,9,14,19,1
2012,9,15,10,1
2012,9,15,13,1
2012,9,16,12,1
2012,10,12,21,1
2012,10,13,14,1
2012,10,22,17,1
2012,10,26,20,1
2012,10,29,19,1
2012,10,31,17,1
2012,11,1,10,1
2012,11,1,18,1
2012,11,2,13,1
2012,11,2,20,1
2012,11,5,17,1
2012,11,6,13,1
2012,11,8,18,2
2012,11,13,18,1
2012,11,17,20,1
2012,11,18,2,1
2012,11,20,11,1
2012,11,23,21,1
2012,11,26,16,1
2012,12,2,22,1
2012,12,4,11,1
2012,12,5,15,2
2012,12,5,21,1
2012,12,6,14,1
2012,12,7,14,2
2012,12,8,11,1
2012,12,8,17,1
2012,12,8,19,1
2012,12,8,20,1
2012,12,8,23,1
2012,12,10,15,1
2012,12,13,13,1
2012,12,14,19,1
2012,12,14,20,1
2012,12,16,13,1
2012,12,17,16,1
2012,12,18,17,1
2012,12,19,16,1
2012,12,21,22,1
2012,12,22,18,1
2012,12,27,18,1
2012,12,30,18,1
2013,1,1,15,1
2013,1,2,16,1
2013,1,4,19,1
2013,1,8,18,1
2013,1,8,20,1
2013,1,26,12,1
2013,1,31,19,1
2013,2,1,19,1
2013,2,2,10,1
2013,2,3,14,1
2013,2,5,19,1
2013,2,13,18,1
2013,2,18,11,1
2013,2,18,18,1
2013,2,22,18,1
2013,3,12,16,1
2013,3,14,21,1
2013,3,15,10,1
2013,3,16,17,1
2013,3,26,17,1
2013,3,26,19,1
2013,3,26,20,1
2013,3,29,15,1
2013,4,2,9,1
2013,4,4,17,1
2013,4,4,18,1
2013,4,5,19,2
2013,4,6,11,1
2013,4,7,16,1
2013,4,10,18,2
2013,4,15,18,1
2013,4,16,20,1
2013,4,24,18,2
2013,4,28,15,1
2013,4,28,16,1
2013,4,30,21,1
2013,5,1,11,1
2013,5,11,19,1
2013,5,23,17,1
2013,5,23,20,1
2013,5,24,21,1
2013,6,3,18,1
2013,6,6,18,1
2013,6,8,7,1
2013,6,9,14,1
2013,6,26,18,1
2013,7,4,18,1
2013,7,10,14,1
2013,7,19,15,1
2013,7,19,18,1
2013,7,22,9,1
2013,7,29,14,1
2013,8,2,16,1
2013,8,2,19,1
2013,8,3,12,1
2013,8,3,18,1
2013,8,5,9,1
2013,8,14,15,1
2013,8,14,18,1
2013,8,18,17,1
2013,8,20,16,1
2013,8,21,18,1
2013,8,23,21,1
2013,8,25,12,1
2013,8,25,20,1
2013,8,29,18,2
2013,8,31,19,1
2013,9,16,16,1
