POI Category,Avg Check-ins per Day
Home (private),2.9537037037037037
Bus Line,1.896551724137931
Bus Station,1.5862068965517242
Convenience Store,1.0
Coffee Shop,1.0
Grocery Store,1.0
Department Store,1.0
Student Center,1.0
Mall,1.173913043478261
Fast Food Restaurant,1.0
Lingerie Store,1.0
Food Court,1.0
Italian Restaurant,1.0
Pet Store,1.0
Road,1.0
Subway,1.6666666666666667
College Engineering Building,1.0
Fried Chicken Joint,1.3333333333333333
Bakery,1.0
Burger Joint,1.0
Garden,1.0
Park,1.0
General Entertainment,1.0
Sushi Restaurant,1.0
Multiplex,1.0
Hotel,1.0
Event Space,2.0
Candy Store,1.0
Clothing Store,1.0
Train Station,1.0
Steakhouse,1.0
Ice Cream Shop,1.0
Scenic Lookout,1.0
Flea Market,1.0
Gym / Fitness Center,1.0
Dessert Shop,1.0
Seafood Restaurant,1.0
Korean Restaurant,1.0
Church,1.0
Beer Garden,1.0
Australian Restaurant,1.0
Chinese Restaurant,1.0
