POI Category,Avg Check-ins per Day
Hardware Store,1.0
Mall,1.1607142857142858
Steakhouse,1.0
Bus Line,1.0
Train Station,1.6666666666666667
Bus Station,1.6666666666666667
Subway,1.8888888888888888
Sushi Restaurant,1.0
Home (private),1.2040816326530612
Student Center,1.0
School,1.037037037037037
Food Court,1.1379310344827587
Community College,1.2666666666666666
Dance Studio,1.0
College Cafeteria,1.3333333333333333
Residential Building (Apartment / Condo),1.0909090909090908
Road,1.0
Dim Sum Restaurant,1.3333333333333333
Arcade,1.0
Thai Restaurant,1.0
Event Space,1.0
General Entertainment,1.0
Playground,1.0
College Academic Building,1.0
College Engineering Building,1.3928571428571428
Flea Market,1.0
Office,1.09375
Food,1.0
Chinese Restaurant,1.1666666666666667
Tea Room,1.0
Ice Cream Shop,1.0
College Administrative Building,1.3333333333333333
General College & University,1.2
Farm,1.0
Caf,1.0
Coffee Shop,1.2
College Residence Hall,1.0
Japanese Restaurant,1.0
Burger Joint,1.0
BBQ Joint,1.0
Lingerie Store,1.0
Doctor's Office,1.0
Clothing Store,1.0
Malaysian Restaurant,1.0
American Restaurant,1.0
Asian Restaurant,1.5
Bridge,1.0
Hotel,1.0
Korean Restaurant,1.0
College & University,1.0
Grocery Store,1.0
Ramen /  Noodle House,1.0
Fast Food Restaurant,1.0
Bike Shop,1.0
Government Building,1.6666666666666667
Parking,1.0
Italian Restaurant,1.0
Other Great Outdoors,1.0
Indonesian Restaurant,1.0
Arts & Crafts Store,1.0
Building,1.0
Mountain,1.0
Bar,1.0
Electronics Store,1.0
Taxi,1.0
Hospital,1.0
Women's Store,1.0
Tailor Shop,1.0
Department Store,1.3333333333333333
Bookstore,1.0
Fried Chicken Joint,1.0
Theme Park,5.0
Restaurant,1.0
Light Rail,1.0
College Lab,1.0
Library,1.0
Soup Place,1.0
Car Dealership,1.0
College Auditorium,1.0
Gas Station / Garage,1.0
Multiplex,1.0
Seafood Restaurant,1.0
Juice Bar,1.0
Coworking Space,1.0
Travel Agency,1.0
Candy Store,1.0
Bank,1.0
Water Park,1.0
Bakery,1.0
Boutique,1.0
Miscellaneous Shop,1.0
Post Office,1.0
Dessert Shop,1.0
Park,1.0
Garden,1.0
