year,month,day,hour,count
2012,5,19,0,1
2012,5,20,6,1
2012,5,28,15,1
2012,5,29,1,1
2012,5,29,14,1
2012,6,1,19,1
2012,6,4,7,1
2012,6,5,18,1
2012,6,10,17,4
2012,6,11,2,1
2012,6,11,16,2
2012,6,11,18,1
2012,6,11,19,1
2012,6,11,20,1
2012,6,12,17,2
2012,6,12,23,1
2012,6,13,16,1
2012,6,13,17,1
2012,6,15,20,1
2012,6,17,20,1
2012,6,18,19,1
2012,6,19,1,1
2012,6,21,15,1
2012,6,21,21,1
2012,6,25,19,2
2012,6,27,2,1
2012,6,27,19,1
2012,6,27,20,1
2012,7,2,22,1
2012,7,3,16,1
2012,7,3,17,1
2012,7,4,6,1
2012,7,4,22,1
2012,7,5,17,1
2012,7,5,20,1
2012,7,6,3,1
2012,7,6,4,1
2012,7,6,13,1
2012,7,6,16,1
2012,7,7,5,1
2012,7,7,16,1
2012,7,8,16,3
2012,7,9,7,1
2012,7,13,17,1
2012,7,14,20,1
2012,7,14,21,1
2012,7,15,22,1
2012,7,16,23,1
2012,7,17,6,1
2012,7,17,21,1
2012,7,18,20,1
2012,7,18,21,1
2012,7,22,23,1
2012,7,24,20,1
2012,7,28,21,1
2012,7,29,1,1
2012,7,29,17,1
2012,7,30,8,1
2012,7,30,19,2
2012,7,30,20,1
2012,8,5,17,1
2012,8,6,16,1
2012,8,9,22,1
2012,8,11,0,1
2012,8,11,2,1
2012,8,11,4,1
2012,8,11,14,1
2012,8,11,15,1
2012,8,11,20,1
2012,8,12,1,1
2012,8,12,16,1
2012,8,17,3,1
2012,8,17,23,1
2012,8,18,0,1
2012,8,18,20,1
2012,8,19,4,1
2012,8,19,21,1
2012,9,5,19,1
2012,9,15,0,1
2012,9,15,3,1
2012,9,15,18,2
2012,9,15,20,2
2012,9,15,23,1
2012,10,12,16,2
2012,10,12,17,2
2012,10,17,2,1
2012,10,19,20,2
2012,10,19,21,1
2012,10,24,16,1
2012,10,26,3,1
2012,10,27,10,1
2012,10,27,12,2
2012,10,27,14,1
2012,10,28,0,1
2012,10,28,16,1
2012,10,28,18,1
2012,10,28,19,1
2012,10,29,15,1
2012,10,31,18,1
2012,11,2,1,1
2012,11,2,17,1
2012,11,8,17,1
2012,11,11,16,1
2012,11,12,14,1
2012,11,12,23,1
2012,11,16,15,1
2012,11,16,16,1
2012,11,17,8,1
2012,11,17,16,1
2012,11,17,22,1
2012,11,18,23,1
2012,11,20,1,1
2012,11,20,23,2
2012,11,21,15,2
2012,11,23,3,1
2012,11,25,20,1
2012,11,26,19,1
2012,11,26,22,1
2012,11,27,22,1
2012,11,28,1,2
2012,12,1,3,1
2012,12,2,2,1
2012,12,2,16,1
2012,12,7,19,1
2012,12,7,21,1
2012,12,9,15,2
2012,12,12,13,2
2012,12,13,13,1
2012,12,13,14,1
2012,12,15,2,1
2012,12,17,1,1
2012,12,18,19,1
2012,12,21,18,1
2012,12,21,21,1
2012,12,30,0,2
2013,1,4,22,1
2013,1,5,23,1
2013,1,7,20,1
2013,1,10,2,1
2013,1,11,6,1
2013,1,12,12,1
2013,1,13,2,1
2013,1,18,9,1
2013,1,19,2,1
2013,1,21,18,1
2013,1,26,12,1
2013,1,26,17,1
2013,1,27,18,1
2013,1,28,9,1
2013,1,29,18,1
2013,1,31,9,1
2013,2,1,11,1
2013,2,2,11,2
2013,2,3,10,1
2013,2,5,9,2
2013,2,7,17,1
2013,2,7,19,1
2013,2,8,19,1
2013,2,11,10,1
2013,2,12,9,1
2013,2,13,15,1
2013,2,16,9,1
2013,2,17,10,1
2013,2,18,0,2
2013,2,18,20,2
2013,2,25,18,1
2013,2,26,9,1
2013,3,7,19,1
2013,3,7,20,1
2013,3,7,21,1
2013,3,18,14,1
2013,3,20,1,1
2013,3,28,19,1
2013,5,9,15,1
2013,5,13,22,1
2013,5,16,10,1
2013,5,19,10,1
2013,6,14,22,1
2013,7,3,0,1
