year,month,day,hour,count
2012,4,17,21,1
2012,4,28,18,1
2012,4,29,17,1
2012,5,3,20,1
2012,5,5,21,1
2012,5,13,15,1
2012,5,27,15,1
2012,6,4,22,1
2012,6,5,20,1
2012,6,11,14,1
2012,6,18,15,1
2012,7,3,19,1
2012,7,5,19,1
2012,7,7,22,1
2012,8,9,20,1
2012,8,20,13,1
2012,9,5,19,1
2012,10,17,17,1
2012,11,6,17,1
2012,11,27,17,1
2013,1,13,22,1
2013,2,2,14,1
2013,2,2,19,1
2013,2,18,18,1
2013,3,5,17,1
2013,4,8,11,1
2013,4,26,20,1
2013,4,28,19,1
2013,5,10,20,1
2013,5,12,19,1
2013,5,14,21,1
2013,5,17,20,1
2013,5,22,19,1
2013,6,1,18,1
2013,6,1,19,1
2013,6,4,20,1
2013,7,2,19,2
2013,7,9,21,1
2013,7,13,20,1
2013,8,18,15,1
2013,8,18,19,1
2013,8,25,20,1
