year,month,day,hour,count
2012,7,8,11,1
2012,7,12,23,1
2012,7,22,19,1
2012,8,5,19,1
2012,8,10,16,1
2012,10,26,7,1
2012,10,27,7,1
2012,10,31,16,1
2012,11,1,14,1
2012,11,1,15,1
2013,2,7,17,1
2013,2,28,10,1
2013,4,10,14,1
2013,4,10,15,1
2013,4,10,16,1
2013,4,17,10,1
2013,4,29,15,1
2013,5,15,10,1
2013,5,18,9,1
2013,5,18,10,1
2013,5,28,18,1
2013,6,3,16,1
2013,6,5,15,1
2013,6,17,13,1
2013,7,18,16,1
2013,7,25,16,1
2013,7,27,16,1
2013,7,30,16,1
2013,8,2,16,1
2013,8,13,16,1
