year,month,day,hour,count
2012,4,8,19,1
2012,4,18,8,1
2012,4,19,8,1
2012,4,19,16,1
2012,4,20,15,1
2012,4,21,20,1
2012,4,24,10,1
2012,4,28,21,1
2012,5,4,19,1
2012,5,7,16,1
2012,5,9,15,2
2012,5,11,16,2
2012,5,11,18,2
2012,5,12,14,2
2012,5,12,20,1
2012,5,13,18,2
2012,5,13,19,1
2012,5,14,9,1
2012,5,14,12,1
2012,5,14,14,1
2012,5,15,9,1
2012,5,19,21,1
2012,5,21,17,1
2012,5,22,13,1
2012,5,24,17,1
2012,5,25,20,1
2012,5,26,14,1
2012,5,28,13,1
2012,6,6,17,1
2012,6,7,16,1
2012,6,13,10,1
2012,6,13,11,2
2012,6,14,10,1
2012,6,14,16,1
2012,6,18,8,1
2012,6,21,8,1
2012,7,2,22,1
2012,7,3,13,1
2012,7,5,20,1
2012,7,8,17,1
2012,7,8,18,1
2012,7,22,19,1
2012,7,22,20,1
2012,8,10,21,1
2012,8,12,20,1
2012,9,15,9,1
2012,9,15,18,1
2012,10,17,17,1
2012,11,1,7,1
2013,2,1,20,1
2013,3,5,21,1
2013,3,6,19,1
2013,5,4,19,1
2013,5,7,19,1
