year,month,day,hour,count
2012,11,2,16,2
2012,11,2,19,1
2012,11,9,18,1
2012,11,9,19,1
2012,11,17,16,1
2012,11,17,20,1
2012,11,17,23,1
2012,11,20,8,2
2012,11,23,20,1
2012,11,27,8,1
2012,12,2,21,1
2012,12,5,8,1
2012,12,5,11,1
2012,12,8,8,1
2012,12,8,17,1
2012,12,8,20,1
2012,12,9,12,1
2012,12,11,17,2
2012,12,12,8,1
2012,12,13,17,2
2012,12,14,19,1
2012,12,15,8,1
2012,12,16,17,1
2012,12,16,18,1
2012,12,17,8,1
2012,12,17,18,1
2012,12,19,19,1
2012,12,20,8,1
2012,12,21,8,1
2012,12,21,17,1
2012,12,21,20,1
2012,12,22,17,1
2012,12,22,18,1
2012,12,23,11,1
2012,12,23,13,1
2012,12,23,20,1
2012,12,28,17,1
2012,12,28,21,1
2012,12,30,9,1
2012,12,30,11,1
2012,12,30,16,2
2012,12,31,19,1
2012,12,31,22,1
2013,1,1,3,1
2013,1,4,8,1
2013,1,5,8,1
2013,1,6,17,1
2013,1,6,18,1
2013,1,7,8,1
2013,1,8,8,1
2013,1,9,17,1
2013,1,10,8,1
2013,1,11,8,1
2013,1,12,17,2
2013,1,18,13,1
2013,1,18,17,2
2013,1,18,18,1
2013,1,18,19,1
2013,1,22,8,1
2013,1,25,8,1
2013,1,26,8,1
2013,1,26,17,1
2013,1,26,19,1
2013,1,27,20,1
2013,1,31,22,1
2013,2,2,8,1
2013,2,2,17,1
2013,2,3,16,1
2013,2,3,17,1
2013,2,5,21,1
2013,2,7,17,1
2013,2,7,18,1
2013,2,8,8,1
2013,2,8,17,1
2013,2,11,18,1
2013,2,11,19,1
2013,2,12,16,1
2013,2,12,19,1
2013,2,14,17,1
2013,2,19,14,1
