year,month,day,hour,count
2012,9,6,12,1
2012,9,6,13,1
2012,9,6,14,2
2012,9,15,13,1
2012,9,15,16,2
2012,9,15,17,1
2012,9,15,19,1
2012,9,15,20,1
2012,10,13,10,3
2012,10,13,18,2
2012,10,27,16,1
2012,10,27,17,1
2012,11,9,17,1
2012,11,9,18,1
2012,11,11,3,2
2012,11,16,17,1
2012,12,4,18,3
2012,12,14,18,2
2012,12,14,19,1
2012,12,14,20,1
2012,12,23,15,2
2012,12,27,18,2
2012,12,30,15,1
2012,12,30,16,2
2012,12,31,21,1
2013,1,11,17,2
2013,1,11,19,1
2013,1,18,17,1
2013,1,18,18,1
2013,1,18,19,1
2013,2,1,16,2
2013,2,1,19,1
2013,2,12,13,2
2013,2,12,19,1
2013,2,16,14,1
2013,2,25,13,1
2013,3,6,19,1
2013,3,6,21,1
2013,3,17,19,1
2013,3,28,15,1
2013,3,28,18,2
2013,3,31,18,1
2013,4,2,14,1
2013,4,5,16,1
