year,month,day,hour,count
2012,4,8,14,1
2012,4,11,11,1
2012,4,16,17,1
2012,4,16,19,1
2012,4,17,19,1
2012,4,23,18,1
2012,4,28,14,1
2012,4,28,19,1
2012,5,5,11,1
2012,5,5,12,1
2012,5,5,17,1
2012,5,9,18,1
2012,5,12,17,1
2012,5,13,13,1
2012,5,13,14,1
2012,5,14,9,1
2012,5,19,11,2
2012,5,19,12,1
2012,5,21,19,1
2012,6,4,18,1
2012,6,27,13,1
2012,7,7,15,1
2012,7,8,12,1
2012,7,13,11,1
2012,7,13,15,1
2012,7,13,18,1
2012,7,14,10,1
2012,8,18,12,1
2012,9,5,22,1
2012,9,6,13,1
2012,9,10,8,1
2012,10,29,11,1
2012,11,1,7,1
2012,11,7,11,1
2012,11,9,18,1
2012,11,16,14,1
2012,11,18,11,1
2012,11,18,18,1
2012,11,18,20,1
2012,11,21,10,1
2012,11,22,12,1
2012,11,22,13,1
2012,12,18,19,1
2013,1,22,15,2
2013,1,28,9,1
2013,1,28,20,1
2013,1,31,10,1
2013,3,28,20,1
2013,4,2,10,1
2013,7,20,13,1
