year,month,day,hour,count
2012,10,12,20,1
2012,10,12,22,1
2012,10,19,21,1
2012,10,24,13,1
2012,10,25,10,1
2012,10,30,21,1
2012,11,1,14,1
2012,11,2,12,1
2012,11,2,20,1
2012,11,9,20,1
2012,11,18,18,2
2012,11,20,13,1
2012,11,21,21,1
2012,11,25,19,1
2012,11,27,20,1
2012,11,29,13,1
2012,11,30,22,1
2012,12,1,19,1
2012,12,5,14,1
2012,12,7,13,1
2012,12,8,18,1
2012,12,19,20,1
2012,12,22,20,1
2012,12,23,20,1
2013,1,8,6,1
2013,1,10,20,1
2013,1,11,21,1
2013,1,12,20,1
2013,1,17,14,1
2013,1,17,20,1
2013,1,18,8,1
2013,1,21,20,1
2013,1,25,13,1
2013,1,27,16,1
2013,1,27,17,1
2013,1,30,14,1
2013,1,30,20,1
2013,1,30,21,1
2013,2,1,14,1
2013,2,1,20,2
2013,2,3,18,1
2013,2,3,23,1
2013,2,5,20,1
2013,2,5,21,1
2013,2,11,20,1
2013,2,12,18,1
2013,2,13,13,1
2013,2,14,20,1
2013,2,16,22,1
2013,2,19,21,1
2013,2,25,13,1
2013,2,26,21,1
2013,2,28,10,1
2013,2,28,21,1
2013,3,7,13,1
2013,3,7,21,1
2013,3,11,21,1
2013,3,14,22,1
2013,3,24,15,1
2013,3,27,20,1
2013,4,8,20,1
2013,4,10,21,1
2013,4,12,21,1
2013,5,1,15,1
2013,5,1,16,1
2013,5,4,17,1
2013,5,4,19,1
2013,5,9,9,1
2013,5,10,20,1
2013,5,11,7,1
2013,5,13,21,1
2013,5,17,13,1
2013,5,22,13,1
2013,5,30,19,1
2013,5,30,21,1
2013,6,4,21,1
2013,6,7,11,1
2013,6,7,21,1
2013,6,15,0,1
2013,6,27,23,1
2013,7,13,18,1
2013,8,3,10,1
2013,8,15,17,1
