year,month,day,hour,count
2012,4,8,17,1
2012,4,13,13,1
2012,4,21,14,1
2012,4,21,18,1
2012,4,21,20,1
2012,6,21,20,1
2012,6,27,9,1
2012,6,27,15,1
2012,7,7,14,1
2012,7,8,19,1
2012,7,14,14,1
2012,7,15,16,1
2012,7,15,18,1
2012,7,28,21,1
2012,8,5,17,1
2012,8,6,9,1
2012,8,6,16,1
2012,9,15,9,1
2012,10,13,20,1
2012,10,22,15,1
2012,10,26,12,1
2012,10,28,19,1
2012,11,2,13,1
2012,11,20,13,1
2012,11,22,13,1
2012,11,22,18,1
2012,11,24,19,1
2013,2,16,19,1
2013,2,17,19,1
2013,3,16,9,1
2013,3,16,21,1
2013,4,5,14,1
2013,4,19,18,1
2013,4,28,16,1
2013,5,11,18,1
2013,5,12,18,1
2013,5,25,17,1
2013,5,30,17,1
2013,8,7,15,1
