svd_components, n_clusters, n_init, batch_size, silhouette         , calinski_harabasz  , davies_bouldin
           100,          5,     10,        100, 0.8902833461761475 , 109.783203125      , 0.047711129579726744
           100,          5,     10,        200, 0.8902833461761475 , 109.783203125      , 0.047711129579726744
           100,          5,     20,        100, 0.8902833461761475 , 109.783203125      , 0.047711129579726744
           100,          5,     20,        200, 0.8902833461761475 , 109.783203125      , 0.047711129579726744
           100,          8,     10,        100, 0.87220698595047   ,  83.92118072509766 , 0.05594732742461332
           100,          8,     10,        200, 0.87220698595047   ,  83.92118072509766 , 0.05594732742461332
           100,          8,     20,        100, 0.878330409526825  ,  87.06909942626953 , 0.05287486291810471
           100,          8,     20,        200, 0.878330409526825  ,  87.06909942626953 , 0.05287486291810471
           100,         11,     10,        100, 0.8523252010345459 ,  76.43221282958984 , 0.05730811975426475
           100,         11,     10,        200, 0.8523252010345459 ,  76.43221282958984 , 0.05730811975426475
           100,         11,     20,        100, 0.8736295700073242 ,  78.55120849609375 , 0.05415079777631626
           100,         11,     20,        200, 0.8736295700073242 ,  78.55120849609375 , 0.05415079777631626
           100,         15,     10,        100, 0.8521084785461426 ,  70.82479858398438 , 1.0060319002436442
           100,         15,     10,        200, 0.8521084785461426 ,  70.82479858398438 , 1.0060319002436442
           100,         15,     20,        100, 0.8718668222427368 ,  74.5395278930664  , 0.05419198829742726
           100,         15,     20,        200, 0.8718668222427368 ,  74.5395278930664  , 0.05419198829742726
           100,         20,     10,        100, 0.8754046559333801 ,  70.71455383300781 , 0.05485681057571744
           100,         20,     10,        200, 0.8754046559333801 ,  70.71455383300781 , 0.05485681057571744
           100,         20,     20,        100, 0.8754046559333801 ,  70.71455383300781 , 0.05485681057571744
           100,         20,     20,        200, 0.8754046559333801 ,  70.71455383300781 , 0.05485681057571744
           200,          5,     10,        100, 0.7520812749862671 ,  59.698944091796875, 0.10411564831104363
           200,          5,     10,        200, 0.7520812749862671 ,  59.698944091796875, 0.10411564831104363
           200,          5,     20,        100, 0.7957596778869629 ,  63.30675506591797 , 0.08818255506814239
           200,          5,     20,        200, 0.7957596778869629 ,  63.30675506591797 , 0.08818255506814239
           200,          8,     10,        100, 0.7479219436645508 ,  49.24467468261719 , 0.09921023309817009
           200,          8,     10,        200, 0.7479219436645508 ,  49.24467468261719 , 0.09921023309817009
           200,          8,     20,        100, 0.8171645402908325 ,  53.42835998535156 , 0.08472497826612657
           200,          8,     20,        200, 0.8171645402908325 ,  53.42835998535156 , 0.08472497826612657
           200,         11,     10,        100, 0.741141140460968  ,  44.77817153930664 , 0.09850730997543447
           200,         11,     10,        200, 0.741141140460968  ,  44.77817153930664 , 0.09850730997543447
           200,         11,     20,        100, 0.741141140460968  ,  44.77817153930664 , 0.09850730997543447
           200,         11,     20,        200, 0.741141140460968  ,  44.77817153930664 , 0.09850730997543447
           200,         15,     10,        100, 0.8080694675445557 ,  40.80394744873047 , 0.09176050437257503
           200,         15,     10,        200, 0.8080694675445557 ,  40.80394744873047 , 0.09176050437257503
           200,         15,     20,        100, 0.8080694675445557 ,  40.80394744873047 , 0.09176050437257503
           200,         15,     20,        200, 0.8080694675445557 ,  40.80394744873047 , 0.09176050437257503
           200,         20,     10,        100, 0.7491205930709839 ,  37.20048904418945 , 0.09924382405325191
           200,         20,     10,        200, 0.7491205930709839 ,  37.20048904418945 , 0.09924382405325191
           200,         20,     20,        100, 0.7485241889953613 ,  37.530006408691406, 0.09945707514005955
           200,         20,     20,        200, 0.7485241889953613 ,  37.530006408691406, 0.09945707514005955
           300,          5,     10,        100, 0.5747575163841248 ,  42.49126434326172 , 0.19088902014495648
           300,          5,     10,        200, 0.5747575163841248 ,  42.49126434326172 , 0.19088902014495648
           300,          5,     20,        100, 0.5747575163841248 ,  42.49126434326172 , 0.19088902014495648
           300,          5,     20,        200, 0.5747575163841248 ,  42.49126434326172 , 0.19088902014495648
           300,          8,     10,        100, 0.668183445930481  ,  37.07946014404297 , 0.134603129019739
           300,          8,     10,        200, 0.668183445930481  ,  37.07946014404297 , 0.134603129019739
           300,          8,     20,        100, 0.668183445930481  ,  37.07946014404297 , 0.134603129019739
           300,          8,     20,        200, 0.668183445930481  ,  37.07946014404297 , 0.134603129019739
           300,         11,     10,        100, 0.6580531001091003 ,  30.583364486694336, 0.13997433005957716
           300,         11,     10,        200, 0.6580531001091003 ,  30.583364486694336, 0.13997433005957716
           300,         11,     20,        100, 0.6538999080657959 ,  32.489898681640625, 1.3726901692425808
           300,         11,     20,        200, 0.6538999080657959 ,  32.489898681640625, 1.3726901692425808
           300,         15,     10,        100, 0.6613343358039856 ,  27.245058059692383, 2.0755831320306983
           300,         15,     10,        200, 0.6613343358039856 ,  27.245058059692383, 2.0755831320306983
           300,         15,     20,        100, 0.6187174320220947 ,  28.337053298950195, 0.14349661550197826
           300,         15,     20,        200, 0.6187174320220947 ,  28.337053298950195, 0.14349661550197826
           300,         20,     10,        100, 0.6886879801750183 ,  25.027822494506836, 0.14120550912150429
